,Set,N,DE,P.DE,FDR
1,HALLMARK_NOTCH_SIGNALING,31,1,0.0283811541378947,0.648359700917533
2,HALLMARK_SPERMATOGENESIS,94,1,0.0837186763004492,0.648359700917533
3,HALLMARK_INTERFERON_ALPHA_RESPONSE,96,1,0.0854254096359277,0.648359700917533
4,HALLMARK_ANDROGEN_RESPONSE,97,1,0.0862776433314636,0.648359700917533
5,HALLMARK_UV_RESPONSE_DN,136,1,0.118932477143465,0.648359700917533
6,HALLMARK_APOPTOSIS,153,1,0.132816914978297,0.648359700917533
7,HALLMARK_KRAS_SIGNALING_UP,173,1,0.148885442355552,0.648359700917533
8,HALLMARK_ESTROGEN_RESPONSE_LATE,176,1,0.151271186049521,0.648359700917533
9,HALLMARK_ESTROGEN_RESPONSE_EARLY,183,1,0.15681323922349,0.648359700917533
10,HALLMARK_IL2_STAT5_SIGNALING,192,1,0.163888231576718,0.648359700917533
11,HALLMARK_G2M_CHECKPOINT,193,1,0.164670851287883,0.648359700917533
12,HALLMARK_INTERFERON_GAMMA_RESPONSE,195,1,0.166234003431558,0.648359700917533
13,HALLMARK_TNFA_SIGNALING_VIA_NFKB,198,1,0.168573522238559,0.648359700917533
14,HALLMARK_ADIPOGENESIS,191,0,1,1
15,HALLMARK_ALLOGRAFT_REJECTION,185,0,1,1
16,HALLMARK_ANGIOGENESIS,27,0,1,1
17,HALLMARK_APICAL_JUNCTION,172,0,1,1
18,HALLMARK_APICAL_SURFACE,38,0,1,1
19,HALLMARK_BILE_ACID_METABOLISM,96,0,1,1
20,HALLMARK_CHOLESTEROL_HOMEOSTASIS,72,0,1,1
