,NGenes,Direction,PValue,FDR
REACTOME_RESPIRATORY_ELECTRON_TRANSPORT_ATP_SYNTHESIS_BY_CHEMIOSMOTIC_COUPLING_AND_HEAT_PRODUCTION_BY_UNCOUPLING_PROTEINS,108,Down,1.35569072771397e-06,0.00202540194720466
REACTOME_RESPIRATORY_ELECTRON_TRANSPORT,90,Down,3.49849871600676e-06,0.00261337854085705
REACTOME_COMPLEX_I_BIOGENESIS,49,Down,6.97140522517417e-06,0.0027373482452585
REACTOME_METAL_SEQUESTRATION_BY_ANTIMICROBIAL_PROTEINS,2,Down,7.32891096454752e-06,0.0027373482452585
REACTOME_COMPLEMENT_CASCADE,24,Down,4.24918700036751e-05,0.0126965707570981
REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT,9,Down,0.000108561432447831,0.02703179667951
REACTOME_ACTIVATION_OF_C3_AND_C5,5,Down,0.000150235650401029,0.0320645802427338
REACTOME_ALTERNATIVE_COMPLEMENT_ACTIVATION,4,Down,0.000583968856000157,0.109056183858029
REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS,20,Down,0.00102946141655257,0.170890595147727
REACTOME_DETOXIFICATION_OF_REACTIVE_OXYGEN_SPECIES,28,Down,0.0012205613029702,0.182351858663747
REACTOME_THE_CITRIC_ACID_TCA_CYCLE_AND_RESPIRATORY_ELECTRON_TRANSPORT,151,Down,0.0013657628126252,0.185043720791295
REACTOME_SYNTHESIS_OF_UDP_N_ACETYL_GLUCOSAMINE,7,Down,0.00148629494611482,0.185043720791295
REACTOME_PLASMA_LIPOPROTEIN_ASSEMBLY_REMODELING_AND_CLEARANCE,42,Down,0.00172839631417053,0.198632622566983
REACTOME_ABACAVIR_TRANSMEMBRANE_TRANSPORT,1,Up,0.00225812701309102,0.240974411254142
REACTOME_DEFECTIVE_CHST3_CAUSES_SEDCJD,1,Up,0.00429118372794607,0.402244012700117
REACTOME_GAP_JUNCTION_DEGRADATION,10,Up,0.00486407070879421,0.402244012700117
REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL,72,Down,0.00496800663494218,0.402244012700117
REACTOME_SYNTHESIS_OF_16_20_HYDROXYEICOSATETRAENOIC_ACIDS_HETE,2,Down,0.00537499305886565,0.402244012700117
REACTOME_PLASMA_LIPOPROTEIN_CLEARANCE,23,Down,0.00561139204579963,0.402244012700117
REACTOME_SEMA3A_PAK_DEPENDENT_AXON_REPULSION,13,Down,0.00572318062898486,0.402244012700117
REACTOME_G1_S_DNA_DAMAGE_CHECKPOINTS,59,Down,0.0059452194302924,0.402244012700117
REACTOME_LAMININ_INTERACTIONS,7,Up,0.0063640077653357,0.402244012700117
REACTOME_ROS_AND_RNS_PRODUCTION_IN_PHAGOCYTES,26,Down,0.00658411798784546,0.402244012700117
REACTOME_SODIUM_COUPLED_PHOSPHATE_COTRANSPORTERS,2,Down,0.00672054869577564,0.402244012700117
REACTOME_SLBP_DEPENDENT_PROCESSING_OF_REPLICATION_DEPENDENT_HISTONE_PRE_MRNAS,11,Down,0.00673099084170209,0.402244012700117
REACTOME_INTERLEUKIN_12_SIGNALING,39,Down,0.00704497826042445,0.404815289272082
REACTOME_TRANSFERRIN_ENDOCYTOSIS_AND_RECYCLING,22,Down,0.00818153134790272,0.420872803653332
REACTOME_POLO_LIKE_KINASE_MEDIATED_EVENTS,8,Up,0.00832972106915133,0.420872803653332
