,Pathway,NGenes,Direction,PValue,FDR
1,REACTOME_DEFECTIVE_CHST3_CAUSES_SEDCJD,4,Up,3.60324600029439e-75,1.37914240661268e-72
2,REACTOME_DEFECTIVE_CHST14_CAUSES_EDS_MUSCULOCONTRACTURAL_TYPE,4,Up,3.60324600029439e-75,1.37914240661268e-72
3,REACTOME_DEFECTIVE_CHSY1_CAUSES_TPBS,4,Up,3.60324600029439e-75,1.37914240661268e-72
4,REACTOME_LECTIN_PATHWAY_OF_COMPLEMENT_ACTIVATION,1,Up,5.88668467937711e-74,1.50208570735439e-71
5,REACTOME_FICOLINS_BIND_TO_REPETITIVE_CARBOHYDRATE_STRUCTURES_ON_THE_TARGET_CELL_SURFACE,1,Up,5.88668467937711e-74,1.50208570735439e-71
6,REACTOME_DERMATAN_SULFATE_BIOSYNTHESIS,7,Up,1.37469947200483e-42,2.63083111454924e-40
7,REACTOME_CS_DS_DEGRADATION,10,Up,1.21143948823621e-29,1.54559488040803e-27
8,REACTOME_DEFECTIVE_B4GALT7_CAUSES_EDS_PROGEROID_TYPE,14,Up,4.71980651938532e-21,4.51626486323682e-19
9,REACTOME_CHONDROITIN_SULFATE_BIOSYNTHESIS,16,Up,2.22995012688044e-18,2.00826684956115e-16
10,REACTOME_A_TETRASACCHARIDE_LINKER_SEQUENCE_IS_REQUIRED_FOR_GAG_SYNTHESIS,20,Up,1.19976586978504e-14,9.66758708758366e-13
11,REACTOME_DISEASES_ASSOCIATED_WITH_GLYCOSAMINOGLYCAN_METABOLISM,31,Up,2.115253459842e-09,1.29538121880724e-07
12,REACTOME_REGULATION_OF_TLR_BY_ENDOGENOUS_LIGAND,14,Up,7.01696344788789e-09,4.13191193796783e-07
13,REACTOME_METAL_SEQUESTRATION_BY_ANTIMICROBIAL_PROTEINS,4,Up,5.30165823896553e-08,2.89887098709151e-06
14,REACTOME_HEPARAN_SULFATE_HEPARIN_HS_GAG_METABOLISM,42,Up,6.03476844784568e-07,2.56645291490326e-05
15,REACTOME_CHONDROITIN_SULFATE_DERMATAN_SULFATE_METABOLISM,44,Up,1.23454585192955e-06,4.97392026132669e-05
16,REACTOME_FORMYL_PEPTIDE_RECEPTORS_BIND_FORMYL_PEPTIDES_AND_MANY_OTHER_LIGANDS,8,Up,8.34177074515697e-06,2.83805578018563e-04
17,REACTOME_ECM_PROTEOGLYCANS,55,Up,2.41758784745968e-05,7.87516381800165e-04
18,REACTOME_TRIF_MEDIATED_PROGRAMMED_CELL_DEATH,9,Up,1.28044216689078e-04,0.00376991722598036
19,REACTOME_RHO_GTPASES_ACTIVATE_NADPH_OXIDASES,22,Up,1.50998524441274e-04,0.00436186303621869
20,REACTOME_IRAK4_DEFICIENCY_TLR2_4,11,Up,5.55631149631075e-04,0.0144181574590708
21,REACTOME_GLYCOSAMINOGLYCAN_METABOLISM,104,Up,6.03822464208134e-04,0.0154075365450442
