,Set,N,DE,P.DE,FDR
1,WP_TYPE_2_PAPILLARY_RENAL_CELL_CARCINOMA,34,2,0.000363556401050132,0.301751812871609
2,WP_EXTRAFOLLICULAR_AND_FOLLICULAR_B_CELL_ACTIVATION_BY_SARSCOV2,69,2,0.00149425219804336,0.620114662187996
3,WP_EBOLA_VIRUS_INFECTION_IN_HOST,123,2,0.00465322247972166,1
4,WP_OSTEOCLAST_SIGNALING,16,1,0.0132799561398769,1
5,WP_IMATINIB_AND_CHRONIC_MYELOID_LEUKEMIA,20,1,0.0165738236501589,1
6,WP_EXTRACELLULAR_VESICLEMEDIATED_SIGNALING_IN_RECIPIENT_CELLS,27,1,0.0223131174788448,1
7,WP_EUKARYOTIC_TRANSCRIPTION_INITIATION,42,1,0.0345052583379181,1
8,WP_IL26_SIGNALING,43,1,0.0353129408842728,1
9,WP_OVERLAP_BETWEEN_SIGNAL_TRANSDUCTION_PATHWAYS_CONTRIBUTING_TO_LMNA_LAMINOPATHIES,51,1,0.0417514673970131,1
10,WP_PPAR_SIGNALING,52,1,0.0425534235801474,1
11,WP_RANKLRANK_SIGNALING,55,1,0.0449554906246278,1
12,WP_CANCER_PATHWAYS,438,2,0.0508495091949278,1
13,WP_GLUCOCORTICOID_RECEPTOR_PATHWAY,64,1,0.0521275883391144,1
14,WP_CLOCKCONTROLLED_AUTOPHAGY_IN_BONE_METABOLISM,68,1,0.0552988322248799,1
15,WP_ALLOGRAFT_REJECTION,76,1,0.0616112829701246,1
16,WP_APOPTOSIS_MODULATION_AND_SIGNALING,88,1,0.0710053125220622,1
17,WP_SMALL_CELL_LUNG_CANCER,90,1,0.0725623228291398,1
18,WP_COMPLEMENT_SYSTEM_IN_NEURONAL_DEVELOPMENT_AND_PLASTICITY,92,1,0.0741168683082942,1
19,WP_INTEGRINMEDIATED_CELL_ADHESION,93,1,0.074893217885341,1
20,WP_SUDDEN_INFANT_DEATH_SYNDROME_SIDS_SUSCEPTIBILITY_PATHWAYS,111,1,0.0887628171739603,1
