,Pathway,NGenes,Direction,PValue,FDR
1,REACTOME_SCAVENGING_BY_CLASS_A_RECEPTORS,12,Up,1.67513550674849e-37,2.56463246083195e-34
2,REACTOME_SIGNAL_REGULATORY_PROTEIN_FAMILY_INTERACTIONS,13,Up,5.46792064620495e-26,4.18569325466989e-23
3,REACTOME_NEUTROPHIL_DEGRANULATION,434,Up,2.36492395457315e-21,1.20689952481717e-18
4,REACTOME_DISSOLUTION_OF_FIBRIN_CLOT,12,Up,9.41987458610381e-18,3.60545699783123e-15
5,REACTOME_AMYLOID_FIBER_FORMATION,38,Up,3.22390510192538e-16,8.5955050853335e-14
6,REACTOME_OTHER_SEMAPHORIN_INTERACTIONS,17,Up,3.36858461868066e-16,8.5955050853335e-14
7,REACTOME_RHO_GTPASES_ACTIVATE_NADPH_OXIDASES,22,Up,1.36061917178097e-15,2.97586850285238e-13
8,REACTOME_METAL_SEQUESTRATION_BY_ANTIMICROBIAL_PROTEINS,4,Up,1.0714405240321e-11,2.05046930286643e-09
9,REACTOME_CROSS_PRESENTATION_OF_PARTICULATE_EXOGENOUS_ANTIGENS_PHAGOSOMES,8,Up,1.86883278453762e-11,3.17909221458565e-09
10,REACTOME_PLATELET_ADHESION_TO_EXPOSED_COLLAGEN,13,Up,6.832779833304e-11,1.04609859247884e-08
11,REACTOME_ANTIMICROBIAL_PEPTIDES,28,Up,2.22972516167313e-10,3.10337202047414e-08
12,REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION,16,Up,2.77445216235169e-10,3.53973855046703e-08
13,REACTOME_INNATE_IMMUNE_SYSTEM,882,Up,7.54948262841806e-10,8.89096761854465e-08
14,REACTOME_SEMAPHORIN_INTERACTIONS,61,Up,8.35218471668963e-10,9.13371057232273e-08
15,REACTOME_SYNTHESIS_OF_5_EICOSATETRAENOIC_ACIDS,6,Up,1.15211543183835e-09,1.11629550326509e-07
16,REACTOME_DECTIN_2_FAMILY,21,Up,1.16660535938873e-09,1.11629550326509e-07
17,REACTOME_DAP12_SIGNALING,28,Up,1.33059796077596e-09,1.19832086938118e-07
18,REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS,29,Up,1.71226642089569e-09,1.45637771688405e-07
19,REACTOME_FCERI_MEDIATED_MAPK_ACTIVATION,32,Up,3.66691509974836e-09,2.95476158827091e-07
20,REACTOME_REGULATION_OF_TLR_BY_ENDOGENOUS_LIGAND,13,Up,1.15157863613637e-08,8.59792346166148e-07
21,REACTOME_EPHB_MEDIATED_FORWARD_SIGNALING,40,Up,1.17933633373541e-08,8.59792346166148e-07
22,REACTOME_RESPONSE_TO_ELEVATED_PLATELET_CYTOSOLIC_CA2,105,Up,1.52992147050403e-08,1.06468625970076e-06
23,REACTOME_IRON_UPTAKE_AND_TRANSPORT,53,Up,1.97704295891937e-08,1.31602294352416e-06
24,REACTOME_DAP12_INTERACTIONS,35,Up,2.68718004116703e-08,1.71419693459447e-06
25,REACTOME_FORMYL_PEPTIDE_RECEPTORS_BIND_FORMYL_PEPTIDES_AND_MANY_OTHER_LIGANDS,8,Up,3.30964107724617e-08,2.02682419570556e-06
26,REACTOME_MHC_CLASS_II_ANTIGEN_PRESENTATION,96,Up,3.49199274522214e-08,2.05624649728273e-06
27,REACTOME_MODULATION_BY_MTB_OF_HOST_IMMUNE_SYSTEM,6,Up,4.17807776733955e-08,2.36912483770253e-06
28,REACTOME_RHO_GTPASES_ACTIVATE_WASPS_AND_WAVES,36,Up,8.50700652133521e-08,4.6515096372015e-06
29,REACTOME_BIOSYNTHESIS_OF_SPECIALIZED_PRORESOLVING_MEDIATORS_SPMS,13,Up,1.03201481721568e-07,5.4483265005421e-06
30,REACTOME_SYNTHESIS_OF_LIPOXINS_LX,5,Up,1.43184461511058e-07,7.30718035244765e-06
31,REACTOME_ROS_AND_RNS_PRODUCTION_IN_PHAGOCYTES,32,Up,1.69919209230469e-07,8.39181643005963e-06
32,REACTOME_TRAFFICKING_AND_PROCESSING_OF_ENDOSOMAL_TLR,13,Up,1.98138679097716e-07,9.47969742808136e-06
33,REACTOME_GOLGI_ASSOCIATED_VESICLE_BIOGENESIS,55,Up,2.94059690154295e-07,1.36425874432189e-05
34,REACTOME_SMOOTH_MUSCLE_CONTRACTION,31,Up,3.28832744095739e-07,1.48071450356052e-05
35,REACTOME_TRANS_GOLGI_NETWORK_VESICLE_BUDDING,70,Up,1.08144021641803e-06,4.73052848953144e-05
36,REACTOME_INTERLEUKIN_4_AND_INTERLEUKIN_13_SIGNALING,97,Up,2.96467132025622e-06,1.26080883092008e-04
37,REACTOME_CASPASE_MEDIATED_CLEAVAGE_OF_CYTOSKELETAL_PROTEINS,12,Up,3.19566159440944e-06,1.32231294622726e-04
38,REACTOME_RHO_GTPASES_ACTIVATE_IQGAPS,25,Up,3.65620900981593e-06,1.47306736684952e-04
39,REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION,214,Up,3.9211530896694e-06,1.53930394366253e-04
40,REACTOME_PARASITE_INFECTION,58,Up,4.05314228290282e-06,1.55134020878105e-04
41,REACTOME_GPVI_MEDIATED_ACTIVATION_CASCADE,33,Up,4.9044946840229e-06,1.80644325772413e-04
42,REACTOME_CHAPERONE_MEDIATED_AUTOPHAGY,18,Up,4.95562487422688e-06,1.80644325772413e-04
43,REACTOME_FCGAMMA_RECEPTOR_FCGR_DEPENDENT_PHAGOCYTOSIS,84,Up,5.1108212024375e-06,1.81969006068182e-04
44,REACTOME_FCGR_ACTIVATION,12,Up,5.78115275617801e-06,2.01157837947921e-04
45,REACTOME_FCERI_MEDIATED_CA_2_MOBILIZATION,31,Up,8.10568051492675e-06,2.75773263741175e-04
46,REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL,109,Up,8.69199587631081e-06,2.89292297535475e-04
47,REACTOME_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_IGF_TRANSPORT_AND_UPTAKE_BY_INSULIN_LIKE_GROWTH_FACTOR_BINDING_PROTEINS_IGFBPS,84,Up,1.2741785513376e-05,4.15056885552738e-04
