,Set,N,DE,P.DE,FDR
1,GOBP_VESICLE_MEDIATED_TRANSPORT,1366,19,5.26644026318206e-07,0.00847528231553889
2,GOCC_SIDE_OF_MEMBRANE,614,12,3.0121384134632e-06,0.019489086361184
3,GOBP_CELL_ACTIVATION,990,15,3.633086378149e-06,0.019489086361184
4,GOCC_EXTERNAL_SIDE_OF_PLASMA_MEMBRANE,339,9,5.09941425295164e-06,0.0205162183931877
5,GOMF_MOLECULAR_TRANSDUCER_ACTIVITY,816,13,1.03435735813224e-05,0.0308462153525983
6,GOCC_CELL_PROJECTION_MEMBRANE,284,8,1.15004841928534e-05,0.0308462153525983
7,GOCC_CELL_SURFACE,717,12,1.44372076375572e-05,0.033191140358744
8,GOBP_POSITIVE_REGULATION_OF_IMMUNE_SYSTEM_PROCESS,986,14,1.66564580918359e-05,0.0335065475089894
9,GOBP_INTRACELLULAR_SIGNALING_CASSETTE,1630,18,2.73587415944326e-05,0.04445005076741
10,GOBP_ESTABLISHMENT_OF_EPITHELIAL_CELL_APICAL_BASAL_POLARITY,16,3,2.7620736200466e-05,0.04445005076741
11,GOBP_RUFFLE_ORGANIZATION,52,4,4.36402720571535e-05,0.0587316621523348
12,GOCC_ADHERENS_JUNCTION,170,6,4.37941928682046e-05,0.0587316621523348
13,GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_INTERSPECIES_INTERACTION_BETWEEN_ORGANISMS,1433,16,7.30030952637638e-05,0.0786041902738703
14,GOBP_CHOLESTEROL_STORAGE,22,3,7.47313137983863e-05,0.0786041902738703
15,GOBP_POSITIVE_REGULATION_OF_LIPID_STORAGE,22,3,7.47313137983863e-05,0.0786041902738703
16,GOCC_GOLGI_LUMEN,61,4,8.19919567280412e-05,0.0786041902738703
17,GOBP_POLARIZED_EPITHELIAL_CELL_DIFFERENTIATION,23,3,8.57084240807519e-05,0.0786041902738703
18,GOBP_ENDOCYTOSIS,607,10,9.05244886227142e-05,0.0786041902738703
19,GOMF_CALCIUM_ION_BINDING,491,9,9.34359293047387e-05,0.0786041902738703
20,GOBP_ESTABLISHMENT_OR_MAINTENANCE_OF_MONOPOLAR_CELL_POLARITY,24,3,9.7687429657454e-05,0.0786041902738703
