Set,N,DE,P.DE,FDR,DEG.GENES,k,n,GR
REACTOME_DRUG_MEDIATED_INHIBITION_OF_CDK4_CDK6_ACTIVITY,5,1,0.000277207961412729,0.479292565282608,CDK6,1,1,1
REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS,17,1,0.000942507068802945,0.543198240653431,CDK6,1,1,1
REACTOME_REGULATION_OF_RUNX1_EXPRESSION_AND_ACTIVITY,17,1,0.000942507068802945,0.543198240653431,CDK6,1,1,1
REACTOME_ONCOGENE_INDUCED_SENESCENCE,33,1,0.00182957254532301,0.698397737982955,CDK6,1,1,1
REACTOME_DISEASES_OF_MITOTIC_CELL_CYCLE,38,1,0.00210678050673663,0.698397737982955,CDK6,1,1,1
REACTOME_CYCLIN_D_ASSOCIATED_EVENTS_IN_G1,47,1,0.00260575483727854,0.698397737982955,CDK6,1,1,1
REACTOME_SENESCENCE_ASSOCIATED_SECRETORY_PHENOTYPE_SASP,51,1,0.00282752120640872,0.698397737982955,CDK6,1,1,1
REACTOME_OXIDATIVE_STRESS_INDUCED_SENESCENCE,63,1,0.00349282031379938,0.754885790319892,CDK6,1,1,1
REACTOME_CELLULAR_SENESCENCE,126,1,0.00698564062759921,1,CDK6,1,1,1
REACTOME_MITOTIC_G1_PHASE_AND_G1_S_TRANSITION,149,1,0.00826079725009699,1,CDK6,1,1,1
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_RUNX1,164,1,0.00909242113433539,1,CDK6,1,1,1
REACTOME_CELL_CYCLE_MITOTIC,486,1,0.0269446138493102,1,CDK6,1,1,1
REACTOME_CELL_CYCLE,613,1,0.0339856960691911,1,CDK6,1,1,1
REACTOME_CELLULAR_RESPONSES_TO_STIMULI,685,1,0.0379774907135324,1,CDK6,1,1,1
REACTOME_RNA_POLYMERASE_II_TRANSCRIPTION,1170,1,0.0648666629705605,1,CDK6,1,1,1
REACTOME_2_LTR_CIRCLE_FORMATION,7,0,1,1,"",0,1,0
REACTOME_ABACAVIR_ADME,5,0,1,1,"",0,1,0
REACTOME_ABACAVIR_TRANSMEMBRANE_TRANSPORT,3,0,1,1,"",0,1,0
REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT,90,0,1,1,"",0,1,0
REACTOME_ABC_TRANSPORTERS_IN_LIPID_HOMEOSTASIS,13,0,1,1,"",0,1,0
REACTOME_ABC_TRANSPORTER_DISORDERS,70,0,1,1,"",0,1,0
REACTOME_ABERRANT_REGULATION_OF_MITOTIC_EXIT_IN_CANCER_DUE_TO_RB1_DEFECTS,20,0,1,1,"",0,1,0
REACTOME_ABORTIVE_ELONGATION_OF_HIV_1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT,23,0,1,1,"",0,1,0
REACTOME_ACETYLCHOLINE_BINDING_AND_DOWNSTREAM_EVENTS,4,0,1,1,"",0,1,0
REACTOME_ACETYLCHOLINE_INHIBITS_CONTRACTION_OF_OUTER_HAIR_CELLS,3,0,1,1,"",0,1,0
REACTOME_ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE,9,0,1,1,"",0,1,0
REACTOME_ACETYLCHOLINE_REGULATES_INSULIN_SECRETION,10,0,1,1,"",0,1,0
REACTOME_ACROSOME_REACTION_AND_SPERM_OOCYTE_MEMBRANE_BINDING,3,0,1,1,"",0,1,0
REACTOME_ACTIVATED_NOTCH1_TRANSMITS_SIGNAL_TO_THE_NUCLEUS,28,0,1,1,"",0,1,0
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_CDK5,5,0,1,1,"",0,1,0
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_FRS2_AND_FRS3,9,0,1,1,"",0,1,0
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_FYN,5,0,1,1,"",0,1,0
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_PI3K,5,0,1,1,"",0,1,0
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_RAS,7,0,1,1,"",0,1,0
REACTOME_ACTIVATED_NTRK3_SIGNALS_THROUGH_PI3K,5,0,1,1,"",0,1,0
REACTOME_ACTIVATED_NTRK3_SIGNALS_THROUGH_RAS,7,0,1,1,"",0,1,0
REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3,5,0,1,1,"",0,1,0
REACTOME_ACTIVATED_TAK1_MEDIATES_P38_MAPK_ACTIVATION,23,0,1,1,"",0,1,0
REACTOME_ACTIVATION_OF_AMPK_DOWNSTREAM_OF_NMDARS,19,0,1,1,"",0,1,0
REACTOME_ACTIVATION_OF_ANTERIOR_HOX_GENES_IN_HINDBRAIN_DEVELOPMENT_DURING_EARLY_EMBRYOGENESIS,54,0,1,1,"",0,1,0
REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS,37,0,1,1,"",0,1,0
REACTOME_ACTIVATION_OF_BAD_AND_TRANSLOCATION_TO_MITOCHONDRIA,15,0,1,1,"",0,1,0
REACTOME_ACTIVATION_OF_BH3_ONLY_PROTEINS,30,0,1,1,"",0,1,0
REACTOME_ACTIVATION_OF_C3_AND_C5,3,0,1,1,"",0,1,0
REACTOME_ACTIVATION_OF_CASPASES_THROUGH_APOPTOSOME_MEDIATED_CLEAVAGE,6,0,1,1,"",0,1,0
REACTOME_ACTIVATION_OF_GENE_EXPRESSION_BY_SREBF_SREBP,42,0,1,1,"",0,1,0
REACTOME_ACTIVATION_OF_IRF3_IRF7_MEDIATED_BY_TBK1_IKK_IKBKE,16,0,1,1,"",0,1,0
REACTOME_ACTIVATION_OF_KAINATE_RECEPTORS_UPON_GLUTAMATE_BINDING,22,0,1,1,"",0,1,0
REACTOME_ACTIVATION_OF_MATRIX_METALLOPROTEINASES,18,0,1,1,"",0,1,0
REACTOME_ACTIVATION_OF_NIMA_KINASES_NEK9_NEK6_NEK7,7,0,1,1,"",0,1,0
