Set,N,DE,P.DE,FDR,DEG.GENES
REACTOME_EGFR_INTERACTS_WITH_PHOSPHOLIPASE_C_GAMMA,5,1,0.000277207961412729,0.311540167433359,AREG
REACTOME_NFE2L2_REGULATING_TUMORIGENIC_GENES,10,1,0.000554415922825791,0.311540167433359,AREG
REACTOME_SHC1_EVENTS_IN_EGFR_SIGNALING,10,1,0.000554415922825791,0.311540167433359,AREG
REACTOME_GAB1_SIGNALOSOME,13,1,0.000720740699672318,0.311540167433359,AREG
REACTOME_ESTROGEN_DEPENDENT_NUCLEAR_EVENTS_DOWNSTREAM_OF_ESR_MEMBRANE_SIGNALING,20,1,0.00110883184565058,0.33550479569773,AREG
REACTOME_SIGNALING_BY_EGFR_IN_CANCER,21,1,0.00116427343793313,0.33550479569773,AREG
REACTOME_EGFR_DOWNREGULATION,26,1,0.00144148139934519,0.356045905638262,AREG
REACTOME_CARGO_CONCENTRATION_IN_THE_ER,30,1,0.00166324776847593,0.35946942396186,AREG
REACTOME_SIGNALING_BY_EGFR,47,1,0.00260575483727854,0.500594457072733,AREG
REACTOME_CONSTITUTIVE_SIGNALING_BY_ABERRANT_PI3K_IN_CANCER,56,1,0.00310472916782201,0.527221821810725,AREG
REACTOME_EXTRA_NUCLEAR_ESTROGEN_SIGNALING,63,1,0.00349282031379938,0.527221821810725,AREG
REACTOME_COPII_MEDIATED_VESICLE_TRANSPORT,66,1,0.00365914509064702,0.527221821810725,AREG
REACTOME_CARGO_RECOGNITION_FOR_CLATHRIN_MEDIATED_ENDOCYTOSIS,82,1,0.00454621056716753,0.545195293008811,AREG
REACTOME_PI3K_AKT_SIGNALING_IN_CANCER,82,1,0.00454621056716753,0.545195293008811,AREG
REACTOME_NEGATIVE_REGULATION_OF_THE_PI3K_AKT_NETWORK,89,1,0.0049343017131448,0.545195293008811,AREG
REACTOME_NUCLEAR_EVENTS_MEDIATED_BY_NFE2L2,91,1,0.00504518489771022,0.545195293008811,AREG
REACTOME_KEAP1_NFE2L2_PATHWAY,119,1,0.00659754948162161,0.644382226657537,AREG
