,Pathway,NGenes,Direction,PValue,FDR
1,REACTOME_METABOLISM_OF_ANGIOTENSINOGEN_TO_ANGIOTENSINS,13,Up,7.12264940240899e-21,1.09047762350882e-17
2,REACTOME_APOBEC3G_MEDIATED_RESISTANCE_TO_HIV_1_INFECTION,5,Up,1.40256291286454e-15,1.07366190979781e-12
3,REACTOME_INTERLEUKIN_10_SIGNALING,44,Up,1.48163132673613e-13,7.5612585374434e-11
4,REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES,47,Up,1.4131102762051e-10,5.40867958217503e-08
5,REACTOME_NEF_MEDIATED_CD8_DOWN_REGULATION,7,Up,2.22417538301014e-10,6.81042502277705e-08
6,REACTOME_NOTCH2_INTRACELLULAR_DOMAIN_REGULATES_TRANSCRIPTION,11,Up,2.22820896959693e-07,5.68564655408816e-05
7,REACTOME_PD_1_SIGNALING,13,Up,1.16693894134576e-05,0.00255226217028622
8,REACTOME_NEF_MEDIATES_DOWN_MODULATION_OF_CELL_SURFACE_RECEPTORS_BY_RECRUITING_THEM_TO_CLATHRIN_ADAPTERS,20,Up,4.50788685360563e-05,0.00862696846608777
9,REACTOME_PEPTIDE_HORMONE_METABOLISM,55,Up,1.61967089464135e-04,0.0275524015521767
10,REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL,111,Up,3.05420643574767e-04,0.0442765086585461
11,REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES,24,Up,3.18119918513394e-04,0.0442765086585461
12,REACTOME_MRNA_EDITING_C_TO_U_CONVERSION,5,Up,3.62541614375788e-04,0.046254267634111
13,REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS,106,Up,4.4574159789912e-04,0.0524946451064271
14,REACTOME_THE_ROLE_OF_NEF_IN_HIV_1_REPLICATION_AND_DISEASE_PATHOGENESIS,27,Up,7.18086580141525e-04,0.0785278967283339
15,REACTOME_MRNA_EDITING,7,Up,0.00301134081785369,0.288147674508375
16,REACTOME_SIGNALING_BY_NOTCH2,29,Up,0.00393699823074571,0.354561428898334
17,REACTOME_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_IGF_TRANSPORT_AND_UPTAKE_BY_INSULIN_LIKE_GROWTH_FACTOR_BINDING_PROTEINS_IGFBPS,84,Up,0.00606737298627623,0.488902528525732
18,REACTOME_ALTERNATIVE_COMPLEMENT_ACTIVATION,5,Up,0.0181301754792142,0.996259746107952
