,Pathway,NGenes,Direction,PValue,FDR
1,REACTOME_TNF_RECEPTOR_SUPERFAMILY_TNFSF_MEMBERS_MEDIATING_NON_CANONICAL_NF_KB_PATHWAY,17,Up,1.79917779744983e-94,2.7545412078957e-91
2,REACTOME_TNFS_BIND_THEIR_PHYSIOLOGICAL_RECEPTORS,28,Up,3.07221379323897e-61,2.35177965872443e-58
3,REACTOME_TNFR2_NON_CANONICAL_NF_KB_PATHWAY,98,Up,6.77962104051082e-43,3.45986660434069e-40
4,REACTOME_IKBA_VARIANT_LEADS_TO_EDA_ID,7,Up,3.50809978562991e-28,1.34272519294985e-25
5,REACTOME_RUNX1_AND_FOXP3_CONTROL_THE_DEVELOPMENT_OF_REGULATORY_T_LYMPHOCYTES_TREGS,10,Up,3.60592859232717e-25,1.10413533497058e-22
6,REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION,8,Up,8.213883172308e-25,2.09590918946726e-22
7,REACTOME_NF_KB_IS_ACTIVATED_AND_SIGNALS_SURVIVAL,10,Up,9.00109245680066e-16,1.9686675073374e-13
8,REACTOME_SUMOYLATION_OF_IMMUNE_RESPONSE_PROTEINS,11,Up,5.60127535913403e-15,1.07194407185427e-12
9,REACTOME_REMOVAL_OF_AMINOTERMINAL_PROPEPTIDES_FROM_GAMMA_CARBOXYLATED_PROTEINS,5,Up,3.83333367738496e-12,5.90346596746822e-10
10,REACTOME_P75NTR_SIGNALS_VIA_NF_KB,13,Up,3.8559542570008e-12,5.90346596746822e-10
11,REACTOME_RIP_MEDIATED_NFKB_ACTIVATION_VIA_ZBP1,17,Up,1.9499404090791e-11,2.71396251481827e-09
12,REACTOME_GAMMA_CARBOXYLATION_TRANSPORT_AND_AMINO_TERMINAL_CLEAVAGE_OF_PROTEINS,6,Up,2.96023045846611e-10,3.77676069325967e-08
13,REACTOME_ZBP1_DAI_MEDIATED_INDUCTION_OF_TYPE_I_IFNS,20,Up,1.07748331284868e-09,1.26894380920872e-07
14,REACTOME_TRAF6_MEDIATED_NF_KB_ACTIVATION,23,Up,2.06461569078657e-08,2.25780473042446e-06
15,REACTOME_DISEASES_OF_IMMUNE_SYSTEM,24,Up,4.67697175975807e-08,4.7736291761264e-06
