,Set,N,DE,P.DE,FDR,DEG.GENES
1,WP_GLUCOCORTICOID_RECEPTOR_PATHWAY,61,2,0.00439596014186293,1,CCL20,ABHD2
2,WP_NUCLEAR_RECEPTORS_METAPATHWAY,246,3,0.0072932198831587,1,CCL20,HES1,ABHD2
3,WP_MICRORNA_FOR_TARGETING_CANCER_GROWTH_AND_VASCULARIZATION_IN_GLIOBLASTOMA,6,1,0.00968768574787104,1,HES1
4,WP_GENE_REGULATORY_NETWORK_MODELING_SOMITOGENESIS,7,1,0.0112934189103759,1,HES1
5,WP_PTF1A_RELATED_REGULATORY_PATHWAY,7,1,0.0112934189103759,1,HES1
6,WP_2Q37_COPY_NUMBER_VARIATION_SYNDROME,105,2,0.0125456850550677,1,HES1,SH3BP4
7,WP_GPCRS_CLASS_A_RHODOPSINLIKE,112,2,0.01418239858056,1,P2RY11,PTGER3
8,WP_DEREGULATION_OF_RAB_AND_RAB_EFFECTOR_GENES_IN_BLADDER_CANCER,13,1,0.0208748826161943,1,SYTL4
9,WP_SMALL_LIGAND_GPCRS,15,1,0.0240486302257674,1,PTGER3
10,WP_STING_PATHWAY_IN_KAWASAKILIKE_DISEASE_AND_COVID19,19,1,0.0303661985040895,1,GSDMD
11,WP_EBSTEINBARR_VIRUS_LMP1_SIGNALING,22,1,0.0350783083932523,1,CCL20
12,WP_NETWORK_MAP_OF_SARSCOV2_SIGNALING,184,2,0.035735047123267,1,SKAP1,CCL20
13,WP_CANONICAL_AND_NONCANONICAL_NOTCH_SIGNALING,23,1,0.0366440668772223,1,HES1
14,WP_IMMUNE_RESPONSE_TO_TUBERCULOSIS,23,1,0.0366440668772223,1,IFIT3
15,WP_RELATIONSHIP_BETWEEN_INFLAMMATION_COX2_AND_EGFR,25,1,0.0397681892684889,1,PTGER3
16,WP_PURINERGIC_SIGNALING,26,1,0.0413265607035664,1,P2RY11
17,WP_STRIATED_MUSCLE_CONTRACTION_PATHWAY,27,1,0.0428824773075127,1,TNNI2
18,WP_PROSTAGLANDIN_AND_LEUKOTRIENE_METABOLISM_IN_SENESCENCE_WP5122,29,1,0.0459869610163868,1,PTGER3
19,WP_ZINC_HOMEOSTASIS,29,1,0.0459869610163868,1,MT1E
20,WP_IMMUNE_INFILTRATION_IN_PANCREATIC_CANCER,30,1,0.0475355356046355,1,CCL20
21,WP_INFLUENCE_OF_LAMINOPATHIES_ON_WNT_SIGNALING,30,1,0.0475355356046355,1,HES1
22,WP_FLUOROPYRIMIDINE_ACTIVITY,31,1,0.0490816703284085,1,CDA
23,WP_ALSTROM_SYNDROME,32,1,0.0506253689155379,1,RILPL1
24,WP_PROSTAGLANDIN_AND_LEUKOTRIENE_METABOLISM_IN_SENESCENCE_WP5321,32,1,0.0506253689155379,1,PTGER3
25,WP_TYPE_II_INTERFERON_SIGNALING,33,1,0.0521666350883345,1,IFIT2
26,WP_ARYL_HYDROCARBON_RECEPTOR_PATHWAY_WP2873,35,1,0.0552418850526325,1,HES1
27,WP_PREIMPLANTATION_EMBRYO,35,1,0.0552418850526325,1,AQP3
28,WP_PROSTAGLANDIN_SYNTHESIS_AND_REGULATION,38,1,0.0598366096329656,1,PTGER3
29,WP_VASOPRESSINREGULATED_WATER_REABSORPTION,39,1,0.0613633591802978,1,AQP3
30,WP_IL26_SIGNALING,40,1,0.062887702215637,1,CCL20
31,WP_NOTCH_SIGNALING_WP268,42,1,0.0659291834586999,1,HES1
32,WP_COPPER_HOMEOSTASIS,47,1,0.0734910294318077,1,MT1E
33,WP_NEUROGENESIS_REGULATION_IN_THE_OLFACTORY_EPITHELIUM,47,1,0.0734910294318077,1,HES1
34,WP_OMEGA6FATTY_ACIDS_IN_SENESCENCE,47,1,0.0734910294318077,1,PTGER3
35,WP_GPCRS_OTHER,48,1,0.0749962523388856,1,P2RY11
36,WP_OVERLAP_BETWEEN_SIGNAL_TRANSDUCTION_PATHWAYS_CONTRIBUTING_TO_LMNA_LAMINOPATHIES,49,1,0.0764991016445896,1,HES1
37,WP_DYRK1A_INVOLVEMENT_REGARDING_CELL_PROLIFERATION_IN_BRAIN_DEVELOPMENT,58,1,0.0899185304647948,1,HES1
38,WP_NOTCH_SIGNALING_WP61,58,1,0.0899185304647948,1,HES1
39,WP_NEURAL_CREST_DIFFERENTIATION,61,1,0.0943494682518942,1,HES1
40,WP_SARSCOV2_INNATE_IMMUNITY_EVASION_AND_CELLSPECIFIC_IMMUNE_RESPONSE,62,1,0.0958217890934091,1,IFIT2
41,WP_EXTRAFOLLICULAR_AND_FOLLICULAR_B_CELL_ACTIVATION_BY_SARSCOV2,67,1,0.103148615244094,1,IFIT2
42,WP_FATTY_ACIDS_AND_LIPOPROTEINS_TRANSPORT_IN_HEPATOCYTES,344,2,0.106847898044945,1,SH3BP4,RHOQ
43,WP_16P112_PROXIMAL_DELETION_SYNDROME,70,1,0.107517015999885,1,CCT5
44,WP_CELL_LINEAGE_MAP_FOR_NEURONAL_DIFFERENTIATION,72,1,0.110417802406757,1,HES1
45,WP_OVERVIEW_OF_PROINFLAMMATORY_AND_PROFIBROTIC_MEDIATORS,80,1,0.121929709297711,1,CCL20
46,WP_PYRIMIDINE_METABOLISM,81,1,0.123358490818834,1,CDA
47,WP_TCELL_RECEPTOR_SIGNALING,88,1,0.133296969336731,1,SKAP1
48,WP_22Q112_COPY_NUMBER_VARIATION_SYNDROME,92,1,0.138926908565977,1,HES1
49,WP_CANCER_PATHWAYS,423,2,0.149617159785501,1,HES1,PTGER3
50,WP_SUDDEN_INFANT_DEATH_SYNDROME_SIDS_SUSCEPTIBILITY_PATHWAYS,107,1,0.159724757388902,1,HES1
