,Set,N,DE,P.DE,FDR,DEG.GENES
1,WP_MALE_INFERTILITY,107,2,0.00157509095004878,1,RGS9,SLC46A1
2,WP_HIF1A_AND_PPARG_REGULATION_OF_GLYCOLYSIS,8,1,0.00446791443646755,1,GPD1
3,WP_MAPK_AND_NFKB_SIGNALING_INHIBITED_BY_YERSINIA_YOPJ,12,1,0.00669500280282898,1,RRAS
4,WP_RETINOL_METABOLISM,13,1,0.00725106083447469,1,DHRS9
5,WP_DISORDERS_OF_FOLATE_METABOLISM_AND_TRANSPORT,18,1,0.0100270732917944,1,SLC46A1
6,WP_INHIBITION_OF_EXOSOME_BIOGENESIS_AND_SECRETION_BY_MANUMYCIN_A_IN_CRPC_CELLS,18,1,0.0100270732917944,1,RRAS
7,WP_TRIACYLGLYCERIDE_SYNTHESIS,20,1,0.0111354844971016,1,GPD1
8,WP_MATRIX_METALLOPROTEINASES,22,1,0.0122427579953238,1,MMP14
9,WP_CANONICAL_AND_NONCANONICAL_NOTCH_SIGNALING,23,1,0.0127959684360993,1,RRAS
10,WP_ANGIOTENSIN_II_RECEPTOR_TYPE_1_PATHWAY,25,1,0.0139015373641327,1,RRAS
11,WP_GLYCEROPHOSPHOLIPID_BIOSYNTHETIC_PATHWAY,28,1,0.0155577628601761,1,GPD1
12,WP_OPIOID_RECEPTOR_PATHWAYS,31,1,0.0172114380584716,1,RGS9
13,WP_CHRONIC_HYPERGLYCEMIA_IMPAIRMENT_OF_NEURON_FUNCTION,33,1,0.0183124731219871,1,MMP14
14,WP_MAPK_CASCADE,33,1,0.0183124731219871,1,RRAS
15,WP_PANCREATIC_CANCER_SUBTYPES,35,1,0.019412377363641,1,DHRS9
16,WP_ENVELOPE_PROTEINS_AND_THEIR_POTENTIAL_ROLES_IN_EDMD_PHYSIOPATHOLOGY,43,1,0.0238007072169335,1,SYNE1
17,WP_FOLATE_METABOLISM,53,1,0.0292608024906453,1,SLC46A1
18,WP_TCELL_ANTIGEN_RECEPTOR_TCR_PATHWAY_DURING_STAPHYLOCOCCUS_AUREUS_INFECTION,60,1,0.0330661968722928,1,RRAS
19,WP_AGERAGE_PATHWAY,64,1,0.0352345635438646,1,MMP14
20,WP_AXON_GUIDANCE,64,1,0.0352345635438646,1,RRAS
21,WP_EGFR_TYROSINE_KINASE_INHIBITOR_RESISTANCE,77,1,0.0422510088039797,1,RRAS
22,WP_G_PROTEIN_SIGNALING,81,1,0.0444004855353685,1,RRAS
23,WP_CALCIUM_REGULATION_IN_CARDIAC_CELLS,111,1,0.060381151462974,1,RGS9
24,WP_REGULATION_OF_ACTIN_CYTOSKELETON,120,1,0.0651273571354419,1,RRAS
25,WP_MYOMETRIAL_RELAXATION_AND_CONTRACTION_PATHWAYS,128,1,0.0693277468012538,1,RGS9
26,WP_RAS_SIGNALING,155,1,0.0833766723150368,1,RRAS
27,WP_NETWORK_MAP_OF_SARSCOV2_SIGNALING,187,1,0.0997753938530903,1,RRAS
28,WP_MAPK_SIGNALING,204,1,0.108377409412777,1,RRAS
29,WP_IL18_SIGNALING,241,1,0.126839597966795,1,MMP14
30,WP_ADHD_AND_AUTISM_ASD_PATHWAYS,270,1,0.141064264384923,1,SLC46A1
31,WP_PLEURAL_MESOTHELIOMA,359,1,0.183403579373861,1,MMP14
32,WP_VEGFAVEGFR2_SIGNALING,398,1,0.201346658319398,1,MMP14
33,WP_10Q1121Q1123_COPY_NUMBER_VARIATION_SYNDROME,53,0,1,1,
34,WP_10Q22Q23_COPY_NUMBER_VARIATION,48,0,1,1,
35,WP_11P112_COPY_NUMBER_VARIATION_SYNDROME,48,0,1,1,
36,WP_13Q1212_COPY_NUMBER_VARIATION,26,0,1,1,
37,WP_15Q112_COPY_NUMBER_VARIATION_SYNDROME,9,0,1,1,
38,WP_15Q11Q13_COPY_NUMBER_VARIATION,50,0,1,1,
39,WP_15Q133_COPY_NUMBER_VARIATION_SYNDROME,20,0,1,1,
40,WP_15Q25_COPY_NUMBER_VARIATION,39,0,1,1,
41,WP_16P112_DISTAL_DELETION_SYNDROME,28,0,1,1,
42,WP_16P112_PROXIMAL_DELETION_SYNDROME,70,0,1,1,
43,WP_17P133_YWHAE_COPY_NUMBER_VARIATION,18,0,1,1,
44,WP_17Q12_COPY_NUMBER_VARIATION_SYNDROME,70,0,1,1,
45,WP_1P36_COPY_NUMBER_VARIATION_SYNDROME,94,0,1,1,
46,WP_1Q211_COPY_NUMBER_VARIATION_SYNDROME,21,0,1,1,
47,WP_22Q112_COPY_NUMBER_VARIATION_SYNDROME,93,0,1,1,
48,WP_2Q112_COPY_NUMBER_VARIATION_SYNDROME,31,0,1,1,
49,WP_2Q13_COPY_NUMBER_VARIATION_SYNDROME,52,0,1,1,
50,WP_2Q211_COPY_NUMBER_VARIATION_SYNDROME,11,0,1,1,
