Set,N,DE,P.DE,FDR,DEG.GENES
WP_STATIN_INHIBITION_OF_CHOLESTEROL_PRODUCTION,22,3,1.06463668754427e-05,0.00883648450661746,"PLTP,LDLR,ABCA1"
WP_FAMILIAL_HYPERLIPIDEMIA_TYPE_3,11,2,0.00020579048996053,0.0402715901126622,"PLTP,LDLR"
WP_FAMILIAL_HYPERLIPIDEMIA_TYPE_5,11,2,0.00020579048996053,0.0402715901126622,"PLTP,LDLR"
WP_FAMILIAL_HYPERLIPIDEMIA_TYPE_2,12,2,0.000246640206243195,0.0402715901126622,"PLTP,LDLR"
WP_CHOLESTEROL_METABOLISM,62,3,0.000247522261442754,0.0402715901126622,"PLTP,LDLR,ABCA1"
WP_FAMILIAL_HYPERLIPIDEMIA_TYPE_1,13,2,0.000291119928525269,0.0402715901126622,"PLTP,LDLR"
WP_FAMILIAL_HYPERLIPIDEMIA_TYPE_4,15,2,0.000390914355341407,0.0405573643666709,"PLTP,LDLR"
WP_SREBF_AND_MIR33_IN_CHOLESTEROL_AND_LIPID_HOMEOSTASIS,15,2,0.000390914355341407,0.0405573643666709,"LDLR,ABCA1"
WP_METABOLIC_PATHWAY_OF_LDL_HDL_AND_TG_INCLUDING_DISEASES,16,2,0.000446201636701497,0.0411497064958047,"LDLR,ABCA1"
WP_ENTEROCYTE_CHOLESTEROL_METABOLISM,32,2,0.00180784889860678,0.145030220924459,"LDLR,ABCA1"
WP_CHRONIC_HYPERGLYCEMIA_IMPAIRMENT_OF_NEURON_FUNCTION,33,2,0.00192208726526392,0.145030220924459,"C3,PRKCB"
WP_VITAMIN_B12_METABOLISM,40,2,0.00281479481696382,0.194689974839997,"LDLR,ABCA1"
WP_GPCRS_OTHER,46,2,0.00370722612903873,0.236692129777088,"CCR5,ADRB2"
WP_FOLATE_METABOLISM,52,2,0.00471423541836902,0.250491029913255,"LDLR,ABCA1"
WP_PPAR_SIGNALING,52,2,0.00471423541836902,0.250491029913255,"PLTP,CPT1B"
WP_FATTY_ACIDS_AND_LIPOPROTEINS_TRANSPORT_IN_HEPATOCYTES,349,4,0.00482874274531576,0.250491029913255,"PLTP,LDLR,ABCA1,CPT1B"
WP_ONCOSTATIN_M_SIGNALING,62,2,0.00663992299116623,0.324184475451057,"LDLR,PRKCB"
WP_NONGENOMIC_ACTIONS_OF_125_DIHYDROXYVITAMIN_D3,67,2,0.00771551088635598,0.324939059702982,"TLR4,PRKCB"
WP_EXTRAFOLLICULAR_AND_FOLLICULAR_B_CELL_ACTIVATION_BY_SARSCOV2,69,2,0.00816631641259153,0.324939059702982,"C3,TLR4"
WP_SELENIUM_MICRONUTRIENT_NETWORK,69,2,0.00816631641259153,0.324939059702982,"LDLR,ABCA1"
WP_COVID19_AND_ENDOTHELIAL_CELL_SENESCENCE,5,1,0.00980613483340253,0.324939059702982,TLR4
WP_STEROID_HORMONE_PRECURSOR_BIOSYNTHESIS,5,1,0.00980613483340253,0.324939059702982,AKR1C1
WP_CORTICOTROPINRELEASING_HORMONE_SIGNALING,78,2,0.0103372978602767,0.324939059702982,"TLR4,PRKCB"
WP_GLIOBLASTOMA_SIGNALING,80,2,0.0108508193700754,0.324939059702982,"BRCA2,PRKCB"
WP_ACUTE_VIRAL_MYOCARDITIS,81,2,0.0111117494701421,0.324939059702982,"CCR5,TLR4"
WP_BILE_ACID_SYNTHESIS_AND_ENTEROHEPATIC_CIRCULATION,6,1,0.011756066488363,0.324939059702982,LDLR
WP_COMPLEMENTMEDIATED_INFLAMMATION_OF_PULMONARY_ALVEOLUS_IN_COVID19_HYPOTHETICAL_PATHWAY,6,1,0.011756066488363,0.324939059702982,C3
WP_IRINOTECAN_PATHWAY,6,1,0.011756066488363,0.324939059702982,CYP3A5
WP_MIR124_PREDICTED_INTERACTIONS_WITH_CELL_CYCLE_AND_DIFFERENTIATION,6,1,0.011756066488363,0.324939059702982,CTDSP1
WP_NANOMATERIALINDUCED_INFLAMMASOME_ACTIVATION,6,1,0.011756066488363,0.324939059702982,TLR4
WP_WNT_SIGNALING_AND_PLURIPOTENCY,86,2,0.0124576389350832,0.324939059702982,"LDLR,PRKCB"
WP_NUCLEAR_RECEPTORS_METAPATHWAY,252,3,0.0133207200183778,0.324939059702982,"PLTP,CES3,CYP3A5"
WP_SPINAL_CORD_INJURY,90,2,0.0135831613028213,0.324939059702982,"TLR4,RHOB"
WP_BENZOAPYRENE_METABOLISM,7,1,0.0137022495055474,0.324939059702982,AKR1C1
WP_SEROTONIN_AND_ANXIETYRELATED_EVENTS,7,1,0.0137022495055474,0.324939059702982,PRKCB
WP_APOE_AND_MIR146_IN_INFLAMMATION_AND_ATHEROSCLEROSIS,8,1,0.0156446909160681,0.337247829479107,TLR4
WP_LIPID_PARTICLES_COMPOSITION,8,1,0.0156446909160681,0.337247829479107,LDLR
WP_PATHOPHYSIOLOGICAL_ROLES_OF_DUX4_IN_FSHD1,8,1,0.0156446909160681,0.337247829479107,ADRB2
