Set,N,DE,P.DE,FDR,DEG.GENES
HALLMARK_COMPLEMENT,187,4,0.000961062205546781,0.0480531102773391,"DOCK10,FCN1,CR1,PDGFB"
HALLMARK_APOPTOSIS,151,2,0.0488765654522318,0.432825899386312,"CD2,EMP1"
HALLMARK_PANCREAS_BETA_CELLS,22,1,0.0503381289109812,0.432825899386312,MAFB
HALLMARK_KRAS_SIGNALING_UP,172,2,0.0615477451423107,0.432825899386312,"MAFB,EMP1"
HALLMARK_HYPOXIA,174,2,0.0628079321433309,0.432825899386312,"PDGFB,PLAC8"
HALLMARK_ALLOGRAFT_REJECTION,184,2,0.069239252920543,0.432825899386312,"CCR1,CD2"
HALLMARK_IL2_STAT5_SIGNALING,191,2,0.0738655543464653,0.432825899386312,"PTGER2,EMP1"
HALLMARK_INTERFERON_GAMMA_RESPONSE,195,2,0.0765531732184129,0.432825899386312,"XAF1,MX2"
HALLMARK_MITOTIC_SPINDLE,197,2,0.0779086618895361,0.432825899386312,"EZR,PLEKHG2"
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,49,1,0.1087319415277,0.522721568003693,FTL
HALLMARK_TGF_BETA_SIGNALING,52,1,0.114998744960813,0.522721568003693,RHOA
HALLMARK_IL6_JAK_STAT3_SIGNALING,82,1,0.175338881153921,0.730578671474673,CCR1
HALLMARK_COAGULATION,113,1,0.233452091757674,0.897892660606437,PDGFB
HALLMARK_UV_RESPONSE_UP,143,1,0.285861232029927,0.93985626545464,CHRNA5
HALLMARK_APICAL_JUNCTION,170,1,0.330016218021291,0.93985626545464,CD99
HALLMARK_INFLAMMATORY_RESPONSE,189,1,0.35947280376395,0.93985626545464,PTGER2
HALLMARK_ADIPOGENESIS,191,1,0.362498650191887,0.93985626545464,ENPP2
HALLMARK_MYC_TARGETS_V1,195,1,0.368508378027923,0.93985626545464,YWHAQ
HALLMARK_TNFA_SIGNALING_VIA_NFKB,196,1,0.370002113532635,0.93985626545464,EGR1
HALLMARK_OXIDATIVE_PHOSPHORYLATION,200,1,0.375942506181856,0.93985626545464,NDUFB1
HALLMARK_ANDROGEN_RESPONSE,97,0,1,1,""
HALLMARK_ANGIOGENESIS,27,0,1,1,""
HALLMARK_APICAL_SURFACE,36,0,1,1,""
HALLMARK_BILE_ACID_METABOLISM,95,0,1,1,""
HALLMARK_CHOLESTEROL_HOMEOSTASIS,71,0,1,1,""
HALLMARK_DNA_REPAIR,148,0,1,1,""
HALLMARK_E2F_TARGETS,198,0,1,1,""
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,160,0,1,1,""
HALLMARK_ESTROGEN_RESPONSE_EARLY,181,0,1,1,""
HALLMARK_ESTROGEN_RESPONSE_LATE,173,0,1,1,""
HALLMARK_FATTY_ACID_METABOLISM,143,0,1,1,""
HALLMARK_G2M_CHECKPOINT,193,0,1,1,""
HALLMARK_GLYCOLYSIS,179,0,1,1,""
HALLMARK_HEDGEHOG_SIGNALING,30,0,1,1,""
HALLMARK_HEME_METABOLISM,178,0,1,1,""
HALLMARK_INTERFERON_ALPHA_RESPONSE,96,0,1,1,""
HALLMARK_KRAS_SIGNALING_DN,115,0,1,1,""
HALLMARK_MTORC1_SIGNALING,196,0,1,1,""
HALLMARK_MYC_TARGETS_V2,57,0,1,1,""
HALLMARK_MYOGENESIS,155,0,1,1,""
HALLMARK_NOTCH_SIGNALING,31,0,1,1,""
HALLMARK_P53_PATHWAY,194,0,1,1,""
HALLMARK_PEROXISOME,95,0,1,1,""
HALLMARK_PI3K_AKT_MTOR_SIGNALING,99,0,1,1,""
HALLMARK_PROTEIN_SECRETION,94,0,1,1,""
HALLMARK_SPERMATOGENESIS,93,0,1,1,""
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,108,0,1,1,""
HALLMARK_UV_RESPONSE_DN,133,0,1,1,""
HALLMARK_WNT_BETA_CATENIN_SIGNALING,39,0,1,1,""
HALLMARK_XENOBIOTIC_METABOLISM,165,0,1,1,""
