,NGenes,Direction,PValue,FDR
GO_CYTOSOLIC_RIBOSOME,94,Down,3.56808039463362e-09,1.92754624084203e-05
GO_CYTOSOLIC_LARGE_RIBOSOMAL_SUBUNIT,53,Down,3.91102006866598e-09,1.92754624084203e-05
GO_GASTRO_INTESTINAL_SYSTEM_SMOOTH_MUSCLE_CONTRACTION,1,Up,1.47006017602818e-08,4.83012771836992e-05
GO_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE,98,Down,3.4377375275338e-08,8.47144470222517e-05
GO_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM,110,Down,4.36273850979909e-07,0.000860070269821792
GO_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_NONSENSE_MEDIATED_DECAY,117,Down,1.02036778551738e-06,0.00167629421030746
GO_CALCIUM_CHANNEL_INHIBITOR_ACTIVITY,7,Up,2.37385311233361e-06,0.00334272430403891
GO_VIRAL_GENE_EXPRESSION,188,Down,8.08316714839385e-06,0.00995947232271477
GO_CYTOKINE_RECEPTOR_ACTIVITY,40,Down,9.91739045054189e-06,0.0108617464078879
GO_GLIAL_CELL_DERIVED_NEUROTROPHIC_FACTOR_RECEPTOR_SIGNALING_PATHWAY,2,Up,1.69043591600436e-05,0.016662626824055
GO_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM,128,Down,2.72859665733176e-05,0.0244507065921083
GO_POSITIVE_REGULATION_OF_SPINDLE_CHECKPOINT,5,Up,4.45643384387566e-05,0.0342954423421011
GO_GLUTATHIONE_DERIVATIVE_METABOLIC_PROCESS,9,Up,4.52308765798228e-05,0.0342954423421011
GO_NEGATIVE_REGULATION_OF_CHROMOSOME_SEGREGATION,30,Up,7.73626543500225e-05,0.054468834566298
GO_REGULATION_OF_SPINDLE_CHECKPOINT,10,Up,9.0713392398094e-05,0.0596107939245341
GO_POSITIVE_REGULATION_OF_CYCLIC_NUCLEOTIDE_PHOSPHODIESTERASE_ACTIVITY,4,Up,0.000115566755827466,0.0668336083541643
GO_FUSION_OF_SPERM_TO_EGG_PLASMA_MEMBRANE_INVOLVED_IN_SINGLE_FERTILIZATION,1,Up,0.000120962319775265,0.0668336083541643
GO_PROTEIN_TARGETING_TO_MEMBRANE,165,Down,0.000122045749251796,0.0668336083541643
GO_IMMUNE_RECEPTOR_ACTIVITY,48,Down,0.000139324625727741,0.0722801492525445
GO_NEGATIVE_REGULATION_OF_METAPHASE_ANAPHASE_TRANSITION_OF_CELL_CYCLE,25,Up,0.000196764408809852,0.0930396228594191
GO_PEPTIDYL_THREONINE_DEPHOSPHORYLATION,15,Up,0.000220274667069949,0.0930396228594191
