,logFC,AveExpr,t,P.Value,adj.P.Val
CD71,1.90648928519685,0.132681740807897,52.5991056105112,0,0
CD141 (Thrombomodulin),0.878994376928885,0.265052821046884,32.8035972831287,6.81251210683031e-227,5.24563432225934e-225
CD31,1.14206916583432,0.424914531395547,29.9330028027908,1.42005712038729e-190,7.28962655132142e-189
CD9,1.05913510965734,0.0115511335006438,26.4280983385867,3.62175872491645e-150,1.39437710909283e-148
CD81 (TAPA-1),0.621000136883878,0.327376030602703,24.7129765195769,4.98011370290721e-132,1.53387502049542e-130
CD107a (LAMP-1),0.813832451164485,0.369499932774569,24.6367059029303,3.00852462772802e-131,7.72187987783524e-130
HLA-DR,0.720878712454573,-0.00266868830092043,20.9884048787407,1.79931663877445e-96,3.9584966053038e-95
CD11a,0.821339214268371,0.606720338250999,20.9513042566514,3.822855392301e-96,7.35899663017943e-95
CD63,0.71931187090033,0.237202122400423,20.1989993879104,1.26629415366555e-89,2.16676999627216e-88
HLA-DR; DP; DQ,0.913787131264384,0.702218365151387,19.5106940495248,7.46454341349241e-84,1.14953968567783e-82
CD354 (TREM-1),0.620488511837522,0.418021486117956,19.1896561520551,3.16509294323515e-81,4.43113012052922e-80
CD47,0.64283834290748,0.274906326292102,19.1147219971703,1.28163489577583e-80,1.64476478291231e-79
CD172a (SIRPα),0.692683752059485,1.39992027667995,18.1663734838095,3.99356484607925e-73,4.73083835612465e-72
CD58 (LFA-3),0.477010223038095,0.853256405548256,18.0034585528773,7.12035436889558e-72,7.83238980578514e-71
CD11c,0.673594835085399,0.69017471220307,15.4970456627317,5.64260763876231e-54,5.79307717579597e-53
CD44,0.614967524049359,0.573967137184777,15.3660077498435,4.14052213488678e-53,3.98525255482853e-52
CD32,0.703768146805051,0.635112370860289,15.246249683871,2.52336629626351e-52,2.28587299779165e-51
CD162,0.617050750032904,0.709447284596907,14.7509397776908,3.85460742423968e-49,3.29783079629395e-48
CD169 (Sialoadhesin; Siglec-1),0.429182158063267,2.03362837775655,14.7270673281815,5.45629287018756e-49,4.4224689579415e-48
CD155 (PVR),0.497325598880141,0.57458162521393,14.7064752698896,7.36019191976839e-49,5.66734777822166e-48
CD29,0.508089489141302,0.428092551203392,14.6930183948881,8.9483766745326e-49,6.56214289465724e-48
CD101 (BB27),0.453895459664633,0.301770302371088,14.0774991833831,5.66794949509835e-45,3.96756464656884e-44
CD305 (LAIR1),0.523896613081921,0.946495185218021,13.0443024880678,6.07334279302375e-39,4.06649908750286e-38
CD16,0.458209393032285,0.257171517786703,12.7678975042002,2.09724896678919e-37,1.34573475368973e-36
CLEC12A,0.526697322757393,0.496937927355483,11.506493875233,8.670997182981e-31,5.34133426471629e-30
HLA-A;B;C,0.441483661998773,0.393866461771909,10.9625003585108,3.85973414629349e-28,2.2861502251123e-27
CD274 (B7-H1; PD-L1),0.357135380443694,0.866928390606601,10.3800711183201,1.92682132950907e-25,1.09900179534962e-24
CD86,0.413745851044048,0.720759657943788,9.50756706721363,1.14985777445006e-21,6.12907287164086e-21
CD151 (PETA-3),0.352908976572316,0.326321862093529,9.50717423839981,1.15417606024406e-21,6.12907287164086e-21
CD304 (Neuropilin-1),0.361764850994282,0.463080282415288,9.48877500554898,1.37546099597209e-21,7.06069977932339e-21
CD64,0.377913428563026,0.828464439898108,9.00155828677756,1.26996989690792e-19,6.3088827136716e-19
CD163,0.288215304873768,0.73611183999198,8.52975041413655,8.16085930598977e-18,3.92741354100757e-17
CD18,0.359068277906902,0.519927374221068,8.07799779507435,3.58871237071361e-16,1.67473243966635e-15
CD328 (Siglec-7),0.352375207497517,0.630123841750998,7.64226949699609,1.14382875150177e-14,5.18087140386094e-14
CD33,0.349012003618065,0.772586404402423,7.49361693080527,3.57238068463225e-14,1.57184750123819e-13
CD85j (ILT2),0.242173626147553,1.20624146977153,6.63228385266929,1.71980077338989e-11,7.35692553061229e-11
CD4,0.304551408152115,0.652312193991929,6.33213049456847,1.24984627149301e-10,5.20206285972767e-10
CD49b,0.285889848221068,-0.0833522832602325,6.26111180496785,1.97296705064328e-10,7.99570857365961e-10
CD54,0.327568469146669,0.388510194361698,6.23467276203681,2.33554352498848e-10,9.22240263713399e-10
CD52,0.262407162182312,0.758460253639089,6.06317014004584,6.8631077429577e-10,2.64229648103871e-09
CD45,0.289609046448869,0.801180366681971,5.6655360036053,7.48794337540276e-09,2.81254458490738e-08
CD95 (Fas),0.23500518828241,0.618402856460441,5.58990566512004,1.15944377252928e-08,4.25129383260734e-08
CD35,0.26136217271176,0.423183545913806,4.62593620573151,1.88302370425337e-06,6.74385233616323e-06
CD88 (C5aR),0.205397097937597,1.66378487580594,4.47338605975559,3.88305652709141e-06,1.35906978448199e-05
CD123,0.230420177422225,1.05812134539311,4.2735818748659,9.68819990976995e-06,3.19736883405454e-05
CD43,0.227179490961173,0.962775234644518,4.27197473176795,9.75820358445217e-06,3.19736883405454e-05
CD49f,0.213242332173865,1.46276723300549,4.21396621295808,1.26331819409479e-05,4.0531458727208e-05
Ig light chain κ,0.196174616054358,0.114473659625293,4.19814098639727,1.35476677562541e-05,4.25783843767986e-05
CD49d,0.213976634529818,0.515379718674504,3.99945471535919,3.19246186109508e-05,9.83278253217284e-05
CD55,0.174019259852078,1.00312687868987,2.39793763683071,0.00825102783834227,0.0249148683746021
Ig light chain λ,0.158429398128103,0.0722884751187638,2.37453746072846,0.00879288251110363,0.0260404597444223
CD39,0.172406331383471,1.49350262340341,2.33480239370232,0.0097846437634225,0.0284308516899446
CD49a,0.168353072887084,1.03599205898138,2.30711093438516,0.0105323433036711,0.0300366827549138
CD103 (Integrin αE),0.150074562657169,1.03948166221327,1.67355201287479,0.0471216854206117,0.131940719177713
CD22,0.14942931855758,0.519971178953177,1.59007328071881,0.0559216236811428,0.153784465123143
CD13,0.141182617861842,1.19103508500602,1.42177071643849,0.0775587236716816,0.209544621849806
CD74,0.11768878899463,0.725428953183522,1.19120343054863,0.11679802814931,0.310118902327479
CD69,0.12903922857686,0.552536383858958,0.975661204970989,0.164625508915118,0.429700480897088
CD278 (ICOS),0.120385293900437,1.35578490443172,0.786605694743086,0.21576372120437,0.544714968286444
CD84,0.114135090980182,0.742574288511448,0.606151418377562,0.272212536516554,0.665408422596022
CD194 (CCR4),0.115333560409412,0.922421355738711,0.512700037190643,0.304085052562952,0.720447662995303
LOX-1,0.107633196874962,1.05734277703682,0.391144366178391,0.347848553986683,0.799532497223123
CD11b,0.109959027997072,0.6544244209998,0.309890369011107,0.378324712789626,0.856794202494152
CD72,0.0904571963806493,0.901884097628008,0,0.615570147784749,0.999999997408937
CD1c,0.085335423281843,0.349869433610344,0,0.647181438733539,0.999999997408937
CD112 (Nectin-2),0.0826844507210329,0.871222672367256,0,0.780023774983322,0.999999997408937
CD40,0.0766196833724305,0.545101706739885,0,0.795988959433996,0.999999997408937
CD142,0.0782731194774015,0.619540426378339,0,0.814199407941539,0.999999997408937
KLRG1 (MAFA),0.0726257566439036,0.528686788102545,0,0.846496661794867,0.999999997408937
CD196 (CCR6),0.0735231498722064,0.692716255742316,0,0.859810253448432,0.999999997408937
CD116,0.0748606690036757,1.11578505189395,0,0.867966708011733,0.999999997408937
CD38,0.0653121043612311,0.512117427269703,0,0.909726747583114,0.999999997408937
CD119 (IFN-γ R α chain),0.0523951811457693,1.03877598730687,0,0.983091879873093,0.999999997408937
CD62L,0.0381279261628229,0.383241043937709,0,0.98396525316836,0.999999997408937
GPR56,0.0364690368019261,1.03894433864721,0,0.987358772688308,0.999999997408937
CD99,0.0204434442799326,0.81121057744433,0,0.992502592752206,0.999999997408937
CD154,0.0523274733827836,1.81300462682245,0,0.992520313708857,0.999999997408937
CD27,0.0237431719653833,0.664593431728493,0,0.993441136460422,0.999999997408937
CD45RO,0.0408895409986501,0.874997340456184,0,0.994638892172125,0.999999997408937
CD14,0.014151290196777,1.25983804362309,0,0.999076757624369,0.999999997408937
CD62P (P-Selectin),0.0105369840571423,1.00835833002895,0,0.999310962709114,0.999999997408937
CD158 (KIR2DL1/S1/S3/S5),0.0218650301561237,0.910696300705089,0,0.999418748559756,0.999999997408937
CD127 (IL-7Rα),0.0112966740424453,1.22622546867355,0,0.99946240349579,0.999999997408937
CD275 (B7-H2; B7-RP1; ICOSL),0.032889346604642,1.23597042193114,0,0.999578029836154,0.999999997408937
CD352 (NTB-A),0.00620394376147786,1.0928878259069,0,0.999678000733292,0.999999997408937
CD122 (IL-2Rβ),0.0145093241024701,0.737852589583556,0,0.999826551007334,0.999999997408937
CD270 (HVEM; TR2),0.0279011800898115,1.66534369579934,0,0.999865150658473,0.999999997408937
CD183 (CXCR3),0.0182578807329432,1.10079957070775,0,0.999947248602602,0.999999997408937
CD82,0.0200325863050178,0.69759698252044,0,0.999954518286288,0.999999997408937
CD279 (PD-1),0.010638484441897,2.12116430712785,0,0.999996578962346,0.999999997408937
CD23,0.0226751730448261,1.03445682405309,0,0.999997964281183,0.999999997408937
CD115 (CSF-1R),0.00120067321502619,1.82112612455166,0,0.999998651254987,0.999999997408937
