,Set,N,DE,P.DE,FDR
1,WP_MAPK_SIGNALING,204,3,0.000514768758617702,0.427258069652693
2,WP_COMPLEMENT_SYSTEM,72,2,0.00144809953259471,0.530693391476523
3,WP_CLEAR_CELL_RENAL_CELL_CARCINOMA_PATHWAYS,83,2,0.0019181688848549,0.530693391476523
4,WP_EBOLA_VIRUS_INFECTION_IN_HOST,123,2,0.00415163122403637,0.746040339323073
5,WP_AMINO_ACID_METABOLISM_IN_TRIPLENEGATIVE_BREAST_CANCER_CELLS,7,1,0.0055074608022041,0.746040339323073
6,WP_COMPLEMENTMEDIATED_INFLAMMATION_OF_PULMONARY_ALVEOLUS_IN_COVID19_HYPOTHETICAL_PATHWAY,7,1,0.0055074608022041,0.746040339323073
7,WP_SERINE_METABOLISM,8,1,0.00629190647621869,0.746040339323073
8,WP_NEPHROGENESIS,12,1,0.00942386930436589,0.870440753240667
9,WP_NETWORK_MAP_OF_SARSCOV2_SIGNALING,188,2,0.00943851419176627,0.870440753240667
10,WP_PATHOGENESIS_OF_SARSCOV2_MEDIATED_BY_NSP9NSP10_COMPLEX,19,1,0.014882460068716,1
11,WP_CALCIUM_MEDIATED_TCELL_APOPTOSIS_INVOLVED_IN_INCLUSION_BODY_MYOSITIS,20,1,0.0156599437353281,1
12,WP_FOLLICLE_STIMULATING_HORMONE_FSH_SIGNALING,22,1,0.0172131788362108,1
13,WP_BDNFTRKB_SIGNALING,30,1,0.0234030817156439,1
14,WP_METABOLIC_PATHWAYS_OF_FIBROBLASTS,30,1,0.0234030817156439,1
15,WP_NUCLEAR_RECEPTORS,31,1,0.0241742344682492,1
16,WP_2Q112_COPY_NUMBER_VARIATION_SYNDROME,32,1,0.0249448140861436,1
17,WP_PI3KAKTMTOR_SIGNALING_AND_THERAPEUTIC_OPPORTUNITIES_IN_PROSTATE_CANCER,32,1,0.0249448140861436,1
18,WP_TARGET_OF_RAPAMYCIN_SIGNALING,36,1,0.0280214091939239,1
19,WP_MARKERS_OF_KIDNEY_CELL_LINEAGE,38,1,0.0295562783105805,1
20,WP_METABOLIC_REPROGRAMMING_IN_COLON_CANCER,41,1,0.0318543053939817,1
