Set,N,DE,P.DE,FDR,DEG.GENES,k,n,GR
GOBP_CELLULAR_RESPONSE_TO_MOLECULE_OF_BACTERIAL_ORIGIN,197,10,6.87946403568431e-10,1.10711214726268e-05,"CXCL3,CXCL2,LILRB2,NFKBIZ,NFKBIA,IL1B,IL6,PDE4B,TNFAIP3,ZC3H12A",10,69,0.144927536231884
GOBP_CELLULAR_RESPONSE_TO_BIOTIC_STIMULUS,223,10,2.28880948445307e-09,1.84169055166516e-05,"CXCL3,CXCL2,LILRB2,NFKBIZ,NFKBIA,IL1B,IL6,PDE4B,TNFAIP3,ZC3H12A",10,69,0.144927536231884
GOBP_RESPONSE_TO_BACTERIUM,544,13,1.55002123916251e-08,8.3148306006141e-05,"CXCL3,CXCL2,LILRB2,NFKBIZ,NFKBIA,IL1B,CCL20,IL6,PDE4B,TNFAIP3,SYT11,BNIP3,ZC3H12A",13,69,0.188405797101449
GOBP_CELLULAR_RESPONSE_TO_OXYGEN_CONTAINING_COMPOUND,947,16,3.63148208280818e-08,0.00014610360289658,"CXCL3,PDGFD,CXCL2,LILRB2,NFKBIZ,NFKBIA,IL1B,EGR1,IL6,PDE4B,TNFAIP3,PPIF,YES1,BNIP3,CES1,ZC3H12A",16,69,0.231884057971015
GOBP_RESPONSE_TO_MOLECULE_OF_BACTERIAL_ORIGIN,306,10,4.65409266735419e-08,0.000149796626591462,"CXCL3,CXCL2,LILRB2,NFKBIZ,NFKBIA,IL1B,IL6,PDE4B,TNFAIP3,ZC3H12A",10,69,0.144927536231884
GOBP_CELLULAR_RESPONSE_TO_LIPID,507,12,6.56717806730212e-08,0.000176142661061822,"CXCL3,CXCL2,LILRB2,NFKBIZ,NFKBIA,IL1B,IL6,PDE4B,TNFAIP3,YES1,CES1,ZC3H12A",12,69,0.173913043478261
GOBP_CYTOKINE_MEDIATED_SIGNALING_PATHWAY,437,11,1.32838874280513e-07,0.000305396571970899,"CXCL3,CXCL2,LILRB2,NFKBIZ,NFKBIA,IL1B,EGR1,CCL20,BIRC7,IL6,TNFAIP3",11,69,0.159420289855072
GOBP_LIPID_STORAGE,82,6,2.49082274821855e-07,0.000501060131088514,"NFKBIA,IL1B,IL6,ABHD5,CES1,ZC3H12A",6,69,0.0869565217391304
GOBP_REGULATION_OF_LIPID_STORAGE,46,5,3.58937954706942e-07,0.000578143913573954,"NFKBIA,IL6,ABHD5,CES1,ZC3H12A",5,69,0.072463768115942
GOBP_NEGATIVE_REGULATION_OF_LIPID_STORAGE,19,4,3.59251794925716e-07,0.000578143913573954,"NFKBIA,IL6,ABHD5,CES1",4,69,0.0579710144927536
GOBP_RESPONSE_TO_OXYGEN_CONTAINING_COMPOUND,1319,17,6.09186671221787e-07,0.000891240099997474,"CXCL3,PDGFD,CXCL2,LILRB2,NFKBIZ,NFKBIA,PKD2L1,IL1B,EGR1,IL6,PDE4B,TNFAIP3,PPIF,YES1,BNIP3,CES1,ZC3H12A",17,69,0.246376811594203
GOBP_RESPONSE_TO_CYTOKINE,806,13,1.41262158233486e-06,0.00189444326037624,"CXCL3,CXCL2,LILRB2,NFKBIZ,NFKBIA,IL1B,EGR1,CCL20,BIRC7,IL6,TNFAIP3,MX2,ZC3H12A",13,69,0.188405797101449
GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_CELL_CELL_ADHESION,257,8,1.63334060546558e-06,0.00202195002798135,"LILRB2,NFKBIZ,IL1B,SKAP1,IL6,PIK3R6,HLA-DQA2,YES1",8,69,0.115942028985507
GOBP_CELLULAR_RESPONSE_TO_HYDROGEN_PEROXIDE,63,5,1.76473713701846e-06,0.00202856533900272,"PDGFD,IL6,TNFAIP3,PPIF,BNIP3",5,69,0.072463768115942
GOBP_INTERLEUKIN_1_MEDIATED_SIGNALING_PATHWAY,29,4,2.14891501238444e-06,0.00230549928628685,"NFKBIA,IL1B,EGR1,IL6",4,69,0.0579710144927536
GOBP_POSITIVE_REGULATION_OF_IMMUNE_SYSTEM_PROCESS,986,14,2.35520465081401e-06,0.00236889427784686,"PDGFD,LILRB2,NFKBIZ,NFKBIA,IL1B,SKAP1,CCL20,IL6,PIK3R6,PDE4B,TNFAIP3,HLA-DQA2,YES1,ZC3H12A",14,69,0.202898550724638
GOBP_LEUKOCYTE_CELL_CELL_ADHESION,376,9,3.05875731774377e-06,0.00278571540390543,"LILRB2,NFKBIZ,IL1B,SKAP1,IL6,PIK3R6,HLA-DQA2,YES1,ZC3H12A",9,69,0.130434782608696
