,Set,N,DE,P.DE,FDR
1,REACTOME_INTERLEUKIN_10_SIGNALING,44,4,1.1846122189564e-05,0.0205530219988935
2,REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,714,9,0.000437674583006717,0.266072261361128
3,REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES,47,3,0.000460067310710884,0.266072261361128
4,REACTOME_SIGNALING_BY_GPCR,467,7,0.000725496954246068,0.267132668536966
5,REACTOME_ASPIRIN_ADME,13,2,0.000769834779645435,0.267132668536966
6,REACTOME_DEATH_RECEPTOR_SIGNALING,149,4,0.00133737829395236,0.386725223334557
7,REACTOME_RAF_INDEPENDENT_MAPK1_3_ACTIVATION,22,2,0.00223786778011594,0.5419303029404
8,REACTOME_SIGNALING_BY_INTERLEUKINS,429,6,0.00249881407695862,0.5419303029404
9,REACTOME_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_IGF_TRANSPORT_AND_UPTAKE_BY_INSULIN_LIKE_GROWTH_FACTOR_BINDING_PROTEINS_IGFBPS,91,3,0.0031177203321678,0.557887414443659
10,REACTOME_P75_NTR_RECEPTOR_MEDIATED_SIGNALLING,92,3,0.00321548942042455,0.557887414443659
11,REACTOME_G_ALPHA_I_SIGNALLING_EVENTS,212,4,0.00477337612560898,0.75289159799378
12,REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS,113,3,0.00571581636950211,0.826411783423847
13,REACTOME_EPHB_MEDIATED_FORWARD_SIGNALING,41,2,0.00763892453571576,0.991973523502309
14,REACTOME_NEGATIVE_REGULATION_OF_MAPK_PATHWAY,42,2,0.00800439730779961,0.991973523502309
15,REACTOME_MEMBRANE_TRAFFICKING,586,6,0.0110970137075308,1
16,REACTOME_TYROSINE_CATABOLISM,4,1,0.0127428079297451,1
17,REACTOME_NRAGE_SIGNALS_DEATH_THROUGH_JNK,56,2,0.0139113012433956,1
18,REACTOME_LEISHMANIA_INFECTION,158,3,0.0142212804118536,1
19,REACTOME_VESICLE_MEDIATED_TRANSPORT,620,6,0.0143298857242003,1
20,REACTOME_DRUG_ADME,64,2,0.0179153564242286,1
