Set,N,DE,P.DE,FDR,DEG.GENES,k,n,GR
WP_IL18_SIGNALING,241,12,1.83700951510284e-07,0.000127066130014796,"SPP1,MMP9,PLA2G7,CXCL3,LRRFIP1,KIFC3,TGM2,PRKCB,EPB41,IL6,IL1B,PRKCA",12,155,0.0774193548387097
WP_CHOLESTEROL_METABOLISM,62,7,3.06183445818786e-07,0.000127066130014796,"PLTP,LDLR,ABCA1,IDI1,APOE,MSMO1,CYP51A1",7,155,0.0451612903225806
WP_ENTEROCYTE_CHOLESTEROL_METABOLISM,32,5,3.10126522096887e-06,0.000502037801311698,"LDLR,ABCA1,IDI1,MSMO1,CYP51A1",5,155,0.032258064516129
WP_OVERVIEW_OF_PROINFLAMMATORY_AND_PROFIBROTIC_MEDIATORS,88,7,3.38117897903049e-06,0.000502037801311698,"SPP1,MMP9,CCL24,CXCL3,CCL23,IL6,IL1B",7,155,0.0451612903225806
WP_CHRONIC_HYPERGLYCEMIA_IMPAIRMENT_OF_NEURON_FUNCTION,33,5,3.6339378519674e-06,0.000502037801311698,"C3,MMP9,SCN9A,PRKCB,PRKCA",5,155,0.032258064516129
WP_PROSTAGLANDIN_SIGNALING,33,5,3.6339378519674e-06,0.000502037801311698,"CCR2,MMP9,PTGER4,IL6,IL1B",5,155,0.032258064516129
WP_SPINAL_CORD_INJURY,91,7,4.23405374600227e-06,0.000502037801311698,"CCR2,MMP9,FCGR2A,IL6,IL1B,RHOB,PRKCA",7,155,0.0451612903225806
WP_VITAMIN_B12_METABOLISM,41,5,1.09546883531914e-05,0.00113654891664361,"LDLR,ABCA1,APOE,IL6,IL1B",5,155,0.032258064516129
WP_STATIN_INHIBITION_OF_CHOLESTEROL_PRODUCTION,22,4,1.70022326778811e-05,0.0014484254170421,"PLTP,LDLR,ABCA1,APOE",4,155,0.0258064516129032
WP_CHOLESTEROL_METABOLISM_WITH_BLOCH_AND_KANDUTSCHRUSSELL_PATHWAYS,45,5,1.74509086390615e-05,0.0014484254170421,"FADS2,ABCA1,IDI1,MSMO1,CYP51A1",5,155,0.032258064516129
WP_LUNG_FIBROSIS,50,5,2.94004020127892e-05,0.00221839397005591,"SPP1,CCR2,MMP9,IL6,IL1B",5,155,0.032258064516129
WP_FATTY_ACIDS_AND_LIPOPROTEINS_TRANSPORT_IN_HEPATOCYTES,349,11,4.64639121446126e-05,0.0032137539233357,"PLTP,LDLR,PLA2G7,ABCA1,SH3BP4,DPYSL2,IDI1,APOE,MSMO1,ITSN1,CYP51A1",11,155,0.0709677419354839
WP_FAMILIAL_HYPERLIPIDEMIA_TYPE_3,11,3,5.76659002507919e-05,0.0034570326029829,"PLTP,LDLR,APOE",3,155,0.0193548387096774
WP_HEPATITIS_B_INFECTION,136,7,5.83113933033261e-05,0.0034570326029829,"MMP9,NFATC2,JAK3,PRKCB,CREB5,IL6,PRKCA",7,155,0.0451612903225806
WP_AFFECTED_PATHWAYS_IN_DUCHENNE_MUSCULAR_DYSTROPHY,59,5,6.59489651823883e-05,0.00364917607342549,"SPP1,MMP9,DAG1,PPIF,IL6",5,155,0.032258064516129
WP_EFFECT_OF_OMEGA3_PUFA_ON_HUNTINGTONS_DISEASE_PATHWAYS,102,6,9.56509379472832e-05,0.00496189240601532,"PIK3R6,ABCA1,APOE,IL6,IL1B,CYP51A1",6,155,0.0387096774193548
WP_2Q37_COPY_NUMBER_VARIATION_SYNDROME,106,6,0.000118355695584974,0.00577854278444285,"LRRFIP1,ABCA1,SH3BP4,HES6,IL1B,MEF2C",6,155,0.0387096774193548
WP_OREXIN_RECEPTOR_PATHWAY,156,7,0.000137982219851873,0.00610453983255897,"SPP1,LDLR,CRH,PRKCB,IL6,IL1B,PRKCA",7,155,0.0451612903225806
WP_SELENIUM_MICRONUTRIENT_NETWORK,69,5,0.000139742478094723,0.00610453983255897,"LDLR,TXNRD3,ABCA1,IL6,IL1B",5,155,0.032258064516129
WP_CHOLESTEROL_BIOSYNTHESIS_PATHWAY,15,3,0.000155690522074589,0.00646115666609545,"IDI1,MSMO1,CYP51A1",3,155,0.0193548387096774
WP_METABOLIC_PATHWAY_OF_LDL_HDL_AND_TG_INCLUDING_DISEASES,16,3,0.000190609515350126,0.00753361417812403,"LDLR,ABCA1,APOE",3,155,0.0193548387096774
WP_CHOLESTEROL_SYNTHESIS_DISORDERS,17,3,0.000230235337054674,0.00830849259805997,"IDI1,MSMO1,CYP51A1",3,155,0.0193548387096774
WP_EXTRACELLULAR_VESICLES_IN_THE_CROSSTALK_OF_CARDIAC_CELLS,17,3,0.000230235337054674,0.00830849259805997,"SPP1,MMP9,IL6",3,155,0.0193548387096774
WP_CANCER_PATHWAYS,438,11,0.000338654662370035,0.010687263296042,"CCND2,TXNRD3,JAK3,GNG12,TCF7L1,GSTT2B,PRKCB,PTGER4,IL6,PMAIP1,PRKCA",11,155,0.0709677419354839
WP_MYOMETRIAL_RELAXATION_AND_CONTRACTION_PATHWAYS,129,6,0.000344707490005647,0.010687263296042,"CRH,GNG12,PRKCB,IL6,IL1B,PRKCA",6,155,0.0387096774193548
WP_ENDOCHONDRAL_OSSIFICATION,47,4,0.000360534183480934,0.010687263296042,"SPP1,MMP9,IFT88,MEF2C",4,155,0.0258064516129032
WP_ENDOCHONDRAL_OSSIFICATION_WITH_SKELETAL_DYSPLASIAS,47,4,0.000360534183480934,0.010687263296042,"SPP1,MMP9,IFT88,MEF2C",4,155,0.0258064516129032
WP_HEMATOPOIETIC_STEM_CELL_DIFFERENTIATION,47,4,0.000360534183480934,0.010687263296042,"NFATC2,HES6,IL6,IL1B",4,155,0.0258064516129032
WP_WNT_SIGNALING_AND_PLURIPOTENCY,87,5,0.00041419792359654,0.0114594758861709,"LDLR,CCND2,TCF7L1,PRKCB,PRKCA",5,155,0.032258064516129
WP_WNT_SIGNALING_WP428,87,5,0.00041419792359654,0.0114594758861709,"CCND2,NFATC2,TCF7L1,PRKCB,PRKCA",5,155,0.032258064516129
WP_FOLATE_METABOLISM,53,4,0.000572446858191585,0.014611695934603,"LDLR,ABCA1,IL6,IL1B",4,155,0.0258064516129032
WP_IL1_AND_MEGAKARYOCYTES_IN_OBESITY,23,3,0.000580946946797468,0.014611695934603,"MMP9,PLA2G7,IL1B",3,155,0.0193548387096774
WP_LDL_INFLUENCE_ON_CD14_AND_TLR4,23,3,0.000580946946797468,0.014611695934603,"CREB5,IL6,IL1B",3,155,0.0193548387096774
WP_CHOLESTEROL_BIOSYNTHESIS_PATHWAY_IN_HEPATOCYTES,95,5,0.000620304540089421,0.0151427284786535,"FADS2,ABCA1,IDI1,MSMO1,CYP51A1",5,155,0.032258064516129
WP_CHEMOKINE_SIGNALING,149,6,0.000739634751663601,0.0173313089608913,"CCR2,CCL24,CXCL3,JAK3,GNG12,PRKCB",6,155,0.0387096774193548
WP_PI3KAKT_SIGNALING,269,8,0.000751719424809745,0.0173313089608913,"SPP1,PIK3R6,CCND2,JAK3,GNG12,CREB5,IL6,PRKCA",8,155,0.0516129032258065
WP_UROTENSINIIMEDIATED_SIGNALING,59,4,0.000860533119072386,0.0193038510494616,"MMP9,ABCA1,IL6,IL1B",4,155,0.0258064516129032
WP_MACROPHAGESTIMULATING_PROTEIN_MSP_SIGNALING,103,5,0.000895131281517652,0.019551551675254,"MMP9,PRKCB,RPS6KA3,IL6,IL1B",5,155,0.032258064516129
WP_COMPLEMENTMEDIATED_INFLAMMATION_OF_PULMONARY_ALVEOLUS_IN_COVID19_HYPOTHETICAL_PATHWAY,7,2,0.00105348125825868,0.0218597361088676,"C3,C8A",2,155,0.0129032258064516
WP_SEROTONIN_AND_ANXIETYRELATED_EVENTS,7,2,0.00105348125825868,0.0218597361088676,"CRH,PRKCB",2,155,0.0129032258064516
WP_ONCOSTATIN_M_SIGNALING,63,4,0.00110150833105282,0.022298827189606,"LDLR,JAK3,PRKCB,PRKCA",4,155,0.0258064516129032
WP_LIPID_PARTICLES_COMPOSITION,8,2,0.00139801344185059,0.0276274084937141,"LDLR,APOE",2,155,0.0129032258064516
WP_IMMUNE_INFILTRATION_IN_PANCREATIC_CANCER,33,3,0.00169802519878142,0.0313191314441907,"MMP9,IL6,IL1B",3,155,0.0193548387096774
WP_KISSPEPTINKISSPEPTIN_RECEPTOR_SYSTEM_IN_THE_OVARY,33,3,0.00169802519878142,0.0313191314441907,"MMP9,PRKCB,PRKCA",3,155,0.0193548387096774
WP_PHOTODYNAMIC_THERAPYINDUCED_NFKB_SURVIVAL_SIGNALING,33,3,0.00169802519878142,0.0313191314441907,"MMP9,IL6,IL1B",3,155,0.0193548387096774
