,Set,NGenes,Direction,PValue,FDR,DEG.GENES
1,REACTOME_METALLOTHIONEINS_BIND_METALS,8,Up,3.16463970071872e-07,0.000538938141032397,
2,REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL,70,Up,2.14110005133361e-05,0.0182314669371057,LILRB2
3,REACTOME_ACTIVATION_OF_MATRIX_METALLOPROTEINASES,8,Up,0.000189925132107097,0.107814166659462,MMP14
4,REACTOME_RESPONSE_TO_METAL_IONS,10,Up,0.00055207257169378,0.235044897398627,
5,REACTOME_REGULATION_OF_COMMISSURAL_AXON_PATHFINDING_BY_SLIT_AND_ROBO,3,Down,0.00115513378316158,0.393438566544835,
6,REACTOME_NADE_MODULATES_DEATH_SIGNALLING,4,Up,0.00180197460760843,0.417880003032178,
7,REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX,48,Up,0.00185358546587206,0.417880003032178,MMP14
8,REACTOME_ACYL_CHAIN_REMODELING_OF_DAG_AND_TAG,6,Down,0.00206327308980895,0.417880003032178,
9,REACTOME_EICOSANOIDS,1,Up,0.00263344509160346,0.417880003032178,
10,REACTOME_THE_RETINOID_CYCLE_IN_CONES_DAYLIGHT_VISION,2,Down,0.00271582407679375,0.417880003032178,
11,REACTOME_LAMININ_INTERACTIONS,10,Down,0.00277641684812153,0.417880003032178,ITGA1
12,REACTOME_RA_BIOSYNTHESIS_PATHWAY,11,Down,0.00306065114072069,0.417880003032178,
13,REACTOME_WAX_AND_PLASMALOGEN_BIOSYNTHESIS,6,Down,0.00331530366041646,0.417880003032178,
14,REACTOME_CA2_ACTIVATED_K_CHANNELS,4,Up,0.00343530243244304,0.417880003032178,
15,REACTOME_OAS_ANTIVIRAL_RESPONSE,8,Down,0.00394314959361443,0.447678917195025,
16,REACTOME_TRAFFICKING_AND_PROCESSING_OF_ENDOSOMAL_TLR,10,Up,0.00521045316947362,0.510228699117999,
17,REACTOME_RELEASE_OF_HH_NP_FROM_THE_SECRETING_CELL,2,Down,0.00551562008848545,0.510228699117999,
18,REACTOME_BETA_DEFENSINS,4,Up,0.00560714296990219,0.510228699117999,
19,REACTOME_GLYCOSPHINGOLIPID_BIOSYNTHESIS,12,Down,0.00585236771384184,0.510228699117999,
20,REACTOME_ACYL_CHAIN_REMODELLING_OF_PS,12,Down,0.00619918689610456,0.510228699117999,
21,REACTOME_INTERFERON_ALPHA_BETA_SIGNALING,61,Down,0.00643804891258301,0.510228699117999,
22,REACTOME_TIE2_SIGNALING,14,Down,0.00677534711344635,0.510228699117999,
23,REACTOME_SYNTHESIS_OF_UDP_N_ACETYL_GLUCOSAMINE,7,Up,0.00689093369331414,0.510228699117999,
24,REACTOME_DEFENSINS,5,Up,0.0077805847606707,0.538568118313169,
25,REACTOME_METABOLISM_OF_FOLATE_AND_PTERINES,15,Up,0.0079061673269696,0.538568118313169,FOLR2
26,REACTOME_RHO_GTPASES_ACTIVATE_IQGAPS,18,Down,0.00920422269801688,0.592218308500667,
27,REACTOME_ACETYLCHOLINE_INHIBITS_CONTRACTION_OF_OUTER_HAIR_CELLS,2,Up,0.0093892509274915,0.592218308500667,
28,REACTOME_CHL1_INTERACTIONS,4,Down,0.0101529164163587,0.595726422916279,ITGA1
29,REACTOME_DIFFERENTIATION_OF_KERATINOCYTES_IN_INTERFOLLICULAR_EPIDERMIS_IN_MAMMALIAN_SKIN,9,Down,0.0103170223748658,0.595726422916279,
30,REACTOME_FLT3_SIGNALING_THROUGH_SRC_FAMILY_KINASES,4,Up,0.010853786124022,0.595726422916279,
31,REACTOME_RAS_SIGNALING_DOWNSTREAM_OF_NF1_LOSS_OF_FUNCTION_VARIANTS,6,Down,0.0108922456981157,0.595726422916279,
32,REACTOME_PLATELET_SENSITIZATION_BY_LDL,16,Down,0.0112630490641557,0.595726422916279,
33,REACTOME_MHC_CLASS_II_ANTIGEN_PRESENTATION,90,Up,0.0118480630380812,0.595726422916279,
34,REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT,9,Up,0.0118935398585752,0.595726422916279,
35,REACTOME_THE_ROLE_OF_NEF_IN_HIV_1_REPLICATION_AND_DISEASE_PATHOGENESIS,23,Up,0.012590077055231,0.601497893084367,
36,REACTOME_LIPOPHAGY,7,Down,0.0127279396800319,0.601497893084367,
37,REACTOME_THE_PHOTOTRANSDUCTION_CASCADE,16,Up,0.013828497699382,0.601497893084367,
38,REACTOME_MITOCHONDRIAL_FATTY_ACID_BETA_OXIDATION_OF_SATURATED_FATTY_ACIDS,9,Down,0.0142978583882064,0.601497893084367,
39,REACTOME_ABACAVIR_ADME,3,Down,0.0144151212485297,0.601497893084367,
40,REACTOME_ACROSOME_REACTION_AND_SPERM_OOCYTE_MEMBRANE_BINDING,1,Down,0.0144924092832173,0.601497893084367,
41,REACTOME_INTERLEUKIN_4_AND_INTERLEUKIN_13_SIGNALING,68,Up,0.0146651101830475,0.601497893084367,
42,REACTOME_COLLAGEN_DEGRADATION,19,Up,0.0148343579034312,0.601497893084367,MMP14
43,REACTOME_SEMA3A_PLEXIN_REPULSION_SIGNALING_BY_INHIBITING_INTEGRIN_ADHESION,11,Up,0.0156760641888703,0.620845053805725,
44,REACTOME_RUNX3_REGULATES_IMMUNE_RESPONSE_AND_CELL_MIGRATION,5,Up,0.0165737663156416,0.641480091716764,
