,Pathway,NGenes,Direction,PValue,FDR
1,REACTOME_INTERFERON_ALPHA_BETA_SIGNALING,50,Up,0,0
2,REACTOME_INTERFERON_SIGNALING,164,Up,5.24718686231908e-109,4.01672154310526e-106
3,REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES,78,Up,2.18635407856848e-79,1.11576936476278e-76
4,REACTOME_OAS_ANTIVIRAL_RESPONSE,7,Up,5.98713234279181e-76,2.29157490420357e-73
5,REACTOME_NEGATIVE_REGULATORS_OF_DDX58_IFIH1_SIGNALING,32,Up,2.07831327458798e-37,6.3637952467884e-35
6,REACTOME_INTERFERON_GAMMA_SIGNALING,71,Up,1.0779915296289e-24,2.75067505310309e-22
7,REACTOME_PYRIMIDINE_CATABOLISM,9,Up,3.2924055736046e-20,7.20096133312664e-18
8,REACTOME_DDX58_IFIH1_MEDIATED_INDUCTION_OF_INTERFERON_ALPHA_BETA,64,Up,4.09945968661159e-18,7.84534097525293e-16
9,REACTOME_TERMINATION_OF_TRANSLESION_DNA_SYNTHESIS,28,Up,1.13384875877633e-14,1.92880272187395e-12
10,REACTOME_REGULATION_OF_IFNA_SIGNALING,14,Up,7.71057285373142e-14,1.18048870390628e-11
11,REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS,6,Up,9.30809309253637e-14,1.29551732042483e-11
12,REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,719,Up,1.85049522094353e-11,2.36092348605379e-09
13,REACTOME_TRANSLESION_SYNTHESIS_BY_Y_FAMILY_DNA_POLYMERASES_BYPASSES_LESIONS_ON_DNA_TEMPLATE,35,Up,2.94751391752897e-11,3.47126446748988e-09
14,REACTOME_NS1_MEDIATED_EFFECTS_ON_HOST_PATHWAYS,41,Up,4.56045796328355e-09,4.98718652984794e-07
15,REACTOME_TRAF3_DEPENDENT_IRF_ACTIVATION_PATHWAY,13,Up,5.59977570128424e-09,5.71550439911078e-07
16,REACTOME_DNA_DAMAGE_BYPASS,44,Up,1.53854378529352e-08,1.47219408455274e-06
17,REACTOME_TRAIL_SIGNALING,8,Up,2.12873465745479e-07,1.91711338856663e-05
18,REACTOME_TRAF6_MEDIATED_IRF7_ACTIVATION,16,Up,2.85889314768204e-07,2.43164744950067e-05
19,REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT,12,Up,5.72616540883337e-07,4.61408381101257e-05
20,REACTOME_SUPPRESSION_OF_APOPTOSIS,7,Up,3.25189922768059e-06,2.48932885878949e-04
21,REACTOME_NUCLEOBASE_CATABOLISM,29,Up,7.93495728152611e-06,5.78496171334118e-04
22,REACTOME_NICOTINAMIDE_SALVAGING,17,Up,1.0274588884092e-05,7.15017980979314e-04
23,REACTOME_REGULATION_BY_C_FLIP,11,Up,1.71461750234992e-05,0.00114133886786858
24,REACTOME_DEX_H_BOX_HELICASES_ACTIVATE_TYPE_I_IFN_AND_INFLAMMATORY_CYTOKINES_PRODUCTION,7,Up,1.87803408481769e-05,0.00119802924327328
25,REACTOME_NF_KB_ACTIVATION_THROUGH_FADD_RIP_1_PATHWAY_MEDIATED_BY_CASPASE_8_AND_10,11,Up,4.60406600774598e-05,0.00281953002314364
26,REACTOME_INFLUENZA_INFECTION,70,Up,5.76814435173688e-05,0.00339654961634968
27,REACTOME_INTERLEUKIN_20_FAMILY_SIGNALING,21,Up,2.99073934245437e-04,0.0169585997529542
28,REACTOME_INTERLEUKIN_9_SIGNALING,8,Up,3.25915941622769e-04,0.0178206180937307
29,REACTOME_CASPASE_ACTIVATION_VIA_DEATH_RECEPTORS_IN_THE_PRESENCE_OF_LIGAND,16,Up,6.74050270524356e-04,0.0355852056611306
30,REACTOME_RIPK1_MEDIATED_REGULATED_NECROSIS,19,Up,0.0010211728104796,0.0521138524281425
31,REACTOME_TRAF6_MEDIATED_IRF7_ACTIVATION_IN_TLR7_8_OR_9_SIGNALING,13,Up,0.00115481727858951,0.057033072694211
32,REACTOME_NICOTINATE_METABOLISM,28,Up,0.00163936562214636,0.0778673016803637
33,REACTOME_INTERLEUKIN_21_SIGNALING,10,Up,0.00169064103404258,0.0778673016803637
34,REACTOME_COMPLEMENT_CASCADE,35,Up,0.00172925425024975,0.0778673016803637
